ID,Sentence,Preds,Partitive,Prenomial,Postnomial,Subjecthood,Passive,Modification
1,Some waiters poured the white wine that my friend really likes.,2.968438506,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1,Some waiters at the gallery opening poured the white wine that my friend really likes.,3.146015406,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
1,Some attentive waiters poured the white wine that my friend really likes.,2.877334058,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,Some attentive waiters at the gallery opening poured the white wine that my friend really likes.,3.014895618,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
1,Some of the waiters poured the white wine that my friend really likes.,5.134223223,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
1,Some of the waiters at the gallery opening poured the white wine that my friend really likes.,4.619911075,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
1,Some of the attentive waiters poured the white wine that my friend really likes.,4.679724693,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
1,Some of the attentive waiters at the gallery opening poured the white wine that my friend really likes.,4.324149966,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
1,The attentive waiters at the gallery opening poured some wine.,2.572369039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The attentive waiters at the gallery opening poured some wine that my friend really likes.,2.810995877,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,The attentive waiters at the gallery opening poured some white wine.,2.577042699,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1,The attentive waiters at the gallery opening poured some white wine that my friend really likes.,2.764396071,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,The attentive waiters at the gallery opening poured some of the wine.,4.902179241,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,The attentive waiters at the gallery opening poured some of the wine that my friend really likes.,3.998479366,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,The attentive waiters at the gallery opening poured some of the white wine.,4.484745979,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1,The attentive waiters at the gallery opening poured some of the white wine that my friend really likes.,3.570573688,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
1,The white wine that my friend really likes was poured by some waiters.,3.340380788,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,The white wine that my friend really likes was poured by some waiters at the gallery opening.,3.815074384,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
1,The white wine that my friend really likes was poured by some attentive waiters.,3.101786852,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1,The white wine that my friend really likes was poured by some attentive waiters at the gallery opening.,3.348056376,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
1,The white wine that my friend really likes was poured by some of the waiters.,5.325624585,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1,The white wine that my friend really likes was poured by some of the waiters at the gallery opening.,4.934528112,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
1,The white wine that my friend really likes was poured by some of the attentive waiters.,5.065753579,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1,The white wine that my friend really likes was poured by some of the attentive waiters at the gallery opening.,4.602564335,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
1,Some wine was poured by the attentive waiters at the gallery opening.,2.891100407,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
1,Some wine that my friend really likes was poured by the attentive waiters at the gallery opening.,3.213864028,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1,Some white wine was poured by the attentive waiters at the gallery opening.,2.881880939,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
1,Some white wine that my friend really likes was poured by the attentive waiters at the gallery opening.,3.114139855,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1,Some of the wine was poured by the attentive waiters at the gallery opening.,5.091623306,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
1,Some of the wine that my friend really likes was poured by the attentive waiters at the gallery opening.,4.854928374,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1,Some of the white wine was poured by the attentive waiters at the gallery opening.,5.002329707,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1,Some of the white wine that my friend really likes was poured by the attentive waiters at the gallery opening.,4.546377778,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,Some lawyers negotiated the important terms of the acquisition.,5.521772742,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2,Some lawyers in the firm negotiated the important terms of the acquisition.,5.511860013,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
2,Some experienced lawyers negotiated the important terms of the acquisition.,4.363405704,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
2,Some experienced lawyers in the firm negotiated the important terms of the acquisition.,5.154326916,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
2,Some of the lawyers negotiated the important terms of the acquisition.,5.731217861,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2,Some of the lawyers in the firm negotiated the important terms of the acquisition.,5.730439663,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
2,Some of the experienced lawyers negotiated the important terms of the acquisition.,5.6875633,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
2,Some of the experienced lawyers in the firm negotiated the important terms of the acquisition.,5.627763629,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2,The experienced lawyers in the firm negotiated some terms.,5.292105198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,The experienced lawyers in the firm negotiated some terms of the acquisition.,5.022460938,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2,The experienced lawyers in the firm negotiated some important terms.,4.229148269,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2,The experienced lawyers in the firm negotiated some important terms of the acquisition.,4.455265641,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
2,The experienced lawyers in the firm negotiated some of the terms.,5.989979506,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,The experienced lawyers in the firm negotiated some of the terms of the acquisition.,5.783060312,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
2,The experienced lawyers in the firm negotiated some of the important terms.,5.676620603,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2,The experienced lawyers in the firm negotiated some of the important terms of the acquisition.,5.358439088,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2,The important terms of the acquisition were negotiated by some lawyers.,5.386195302,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,The important terms of the acquisition were negotiated by some lawyers in the firm.,5.549605846,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
2,The important terms of the acquisition were negotiated by some experienced lawyers.,4.859129071,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
2,The important terms of the acquisition were negotiated by some experienced lawyers in the firm.,5.433341026,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
2,The important terms of the acquisition were negotiated by some of the lawyers.,5.694695473,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
2,The important terms of the acquisition were negotiated by some of the lawyers in the firm.,5.738307834,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
2,The important terms of the acquisition were negotiated by some of the experienced lawyers.,5.661624551,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
2,The important terms of the acquisition were negotiated by some of the experienced lawyers in the firm.,5.680521607,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
2,Some terms were negotiated by the experienced lawyers in the firm.,5.564961672,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2,Some terms of the acquisition were negotiated by the experienced lawyers in the firm.,5.165729523,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
2,Some important terms were negotiated by the experienced lawyers in the firm.,4.857201815,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
2,Some important terms of the acquisition were negotiated by the experienced lawyers in the firm.,4.736090422,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2,Some of the terms were negotiated by the experienced lawyers in the firm.,5.925298214,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2,Some of the terms of the acquisition were negotiated by the experienced lawyers in the firm.,5.692093372,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2,Some of the important terms were negotiated by the experienced lawyers in the firm.,5.595481992,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2,Some of the important terms of the acquisition were negotiated by the experienced lawyers in the firm.,5.275039911,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,Some chefs cut the red salmon from Alaska.,5.713977695,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,Some chefs at the sushi restaurant cut the red salmon from Alaska.,4.885768414,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
3,Some award-winning chefs cut the red salmon from Alaska.,5.284790993,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
3,Some award-winning chefs at the sushi restaurant cut the red salmon from Alaska.,4.094913363,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
3,Some of the chefs cut the red salmon from Alaska.,5.928445339,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3,Some of the chefs at the sushi restaurant cut the red salmon from Alaska.,5.456135869,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
3,Some of the award-winning chefs cut the red salmon from Alaska.,5.663596153,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3,Some of the award-winning chefs at the sushi restaurant cut the red salmon from Alaska.,4.915084243,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
3,The award-winning chefs at the sushi restaurant cut some salmon.,2.957827687,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
