Item,Sentence,all,a lot (of),,,,
176651:43,"a, a contractor friend helped me, uh, with [SOME] of the, uh, foundation work",Yes,Yes,,k,,
108182:30,i guess you have  to take [SOME] things and leave [SOME] things.,No; No,Yes; Yes,,,,"Sometimes I think that the of in a lot of helps though and the ""weird"" of all is more because I don't replace some with all OF, and because the concept of all doesn't apply but a lot does because whatever the scalar refers to is something that can't be completely something"
20718:26,"well, i know that we have [SOME] relatives that  live around, like the mumblex area in there,",No,Yes,,,,"a lot seems to not work when some means any, random"
18335:127,"just if you want a lot of, you know, light for underneath, that may be the, all right because we had, because we have some, we have [SOME] old fruit trees.",No,Yes,,It was yes if it sounded right without having to be framed in a particular context,,
88808:43,"although, um, i have also done oh, free lance magazine writing and [SOME] educational writing.",No,Yes,,some _____ that,,
148561:14,"i mean, [SOME] people sing,",Yes,Yes,,"you have some _____, some _____, it can't be all and all if it's referring to what composes a whole",,
176908:22,"and you say you have [SOME] strong feelings about, uh, the issue.",No,Yes,,there are some _____: because of the there are something that might work for all without the there are doesn't work,,
34501:47,"but it was on a higher level, you know, where there were [SOME] things that kids didn't understand  that adults did  ,",No,Yes,,"If a sentences needed me to create particular explanation or context to make the all replacement work, it was annotated as no",,
1686:32:00,"and, uh, quite honestly, i, i have [SOME] little children",No,Yes,,,,
9196:49:00,"but i do think that, um, congress has backed down much too much on [SOME] of the air pollution standards.",Yes,Yes,,,,
24580:124,"and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when [SOME] drug users behave, uh, normal , uh, you know.",Yes,Yes,,,,
68658:113,"but, if there are [SOME] people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for [SOME] people.",No; Yes,Yes; Yes,,,,
16209:29,and i have two different kinds of breads and [SOME] ham,No,Yes,,,,
112844:32,"i have worked in anoth-, at [SOME] other ones that  were not very good in my opinion.",No,Yes,,,,
99256:38,"and you can see in [SOME] of the departments in [SOME] of the schools, like history at clark, they're all pretty fancy.",Yes; Yes,Yes; Yes,,,,
89238:15,and she was wanting [SOME] more information.,No,Yes,,,,
86088:57,"and i, i think we may not have ever have seen that without [SOME] of these, uh, newspeople being in there in the broadcasts and the, the, uh, soldiers leaving, um, you know, surrendering and, trying  to get out of that situation.",Yes,Yes,,,,
112290:7,and [SOME] of those,Yes,Yes,,,,
145433:59,"even with my gas card you know, i find that i'll go in  to get [SOME] gas",No,Yes,,,,
77398:5,"some of the people that i work with  they, like when i worked on second shift , um, their paren-, their kids go to school during the day",Yes,Yes,,,,
102781:19,i went to dinner with [SOME] friends last weekend,No,Yes,,,,
80692:12,and you get [SOME] beautiful effects with them.,No,Yes,,,,
4490:19:00,"um, there's been [SOME] progressive medical schools  out here, that  have taken that approach.",No,Yes,,,,
176346:41,"he crashed and killed [SOME] people because he was, uh, smoking [SOME] marijuana",Yes; No,Yes; Yes,,,,
163367:85,but i think it's got a little more relevance since they are around dangerous equipment and things like that and do have  to exercise [SOME] quick judgment in the field.,No,Yes,,,,
134426:32,"and, uh, we've got [SOME] plum trees and [SOME] apple trees and [SOME] tomato and [SOME] blackberries and strawberries.",No (4),Yes (4),,,,
53223:87,"i, uh, i left t i in january  hoping  to strike out and find a job where i could make [SOME] money .",No,Yes,,,,
36420:35,"we've, uh, just save the fees and buy [SOME] of our own equipment.",Yes,Yes,,,,
95199:151,"but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people  , i felt like i needed [SOME] strong influence there.",No,Yes,,,,
114255:29,"um, uh, i think there's [SOME] problems,",No,Yes,,,,
140052:14,"but my son needed [SOME] money,",No,Yes,,,,
155121:37,"uh, a colleague of mine at, uh, work got [SOME] information over, uh, the computer network called internet.",Yes,Yes,,,,
56319:15,and i shred up [SOME] just regular white cheese.,No,Yes,,,,
120254:15,"i've read [SOME] things about him that he was, he wasn't too good himself.",No,Yes,,,,
99947:44,"so but, uh, you know, we probably did [SOME] ice skating on it,",No,Yes,,,,
103563:4,"some people are really afraid to recycle the fuel because they're afraid it could become, uh, bomb quality.",Yes,Yes,,,,
35674:45,and so she's going  to get [SOME] money for that and take [SOME] money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.,No; No,Yes; Yes,,,,
140964:11,and spend [SOME] time with him.,No,Yes,,,,
47593:18,"then my father got us [SOME] tickets,",No,Yes,,,,
54511:40,"there's, there is, you know [SOME] blood and everything",No,Yes,,,,
38844:23,"i do do [SOME] crafts like it mentioned in the thing,",No,Yes,,,,
72387:13,and i see [SOME] of the problems the kids have  when they don't have a real good family structure .,Yes,Yes,,,,
15535:31,"now, i've seen, you know, [SOME] different clips of it, um,",No,Yes,,,,
91704:14,"i'm doing [SOME] reviews of books,  just to, what, to sort of recommend to wh-, whether or not a full-scale review should be done  for the journal,",No,Yes,,,,
29385:35,"and they go back and forth, where everyone's giving [SOME] opinions",No,Yes,,,,
165513:41,"and then with that i try and handle, you know, [SOME] of the clothes that the girls need  and things like that,",Yes,Yes,,,,
5156:27:00,"i've been trying  to do [SOME] bibs for him. and, uh, work on his christmas stocking.",No,Yes,,,,
71923:26,because i work [SOME] weird hours and do [SOME] traveling.,No; No,Yes; Yes,,,,
1177:17:00,"i've even had [SOME] of them,",Yes,Yes,,,,
109067:60,"marinated in olive oil and [SOME] seasoning, um, and cooked with [SOME] olives and some, and [SOME] prunes, uh,",No (3),Yes (3),,,,
8885:15:00,what  are [SOME] of your things you like  to do .,Yes,Yes,,,,
102431:45,"i know they do do some, they do have [SOME] classes   in, um, high schools and things for kids  to, uh, give them an idea of what family life is like  and the, uh, you know, and, uh, that kind of thing",No,Yes,,,,
57403:47,"it had, uh, leather, leather designs and, um, [SOME] other, other little things on it",No,Yes,,,,
88674:10,i did [SOME] typing for my father when he had the company,No,Yes,,,,
96886:11,there's [SOME] men out there that  are more feminine than most women.,No,Yes,,,,
9967:56:00,"they don't understand that to make that work, they've got  to take [SOME] responsibility for themselves.",Yes,Yes,,,,
97989:5,"some of the changing roles of women in that respect, i have been a product of .",Yes,Yes,,,,
2345:39:00,"i, uh, have attended [SOME] seminars that  had [SOME] tapes that  went with them, but, uh, i guess not so much books although they sometimes have manuals and things,",Yes; No,Yes; Yes,,,,
113850:63,"if they were  to take half of what they spend  on that and put it on [SOME] economic, you know, inter-, intergovernmental or inter united states like programs that one really might.",Yes,Yes,,,,
82800:12,"my wife did [SOME] teaching at like, uh, like a private tutoring place. a sylvan learning center this year",No,Yes,,,,
116717:11,i know [SOME] people that  went to b y u.,No,Yes,,,,
20142:232,"well, i think in a way, though, uh, uh, i also have, uh, an opposite point of view, which  is, uh, although i believe we should, uh, permit, uh, you know, constant immigration into this country uh, i think we should, uh, primarily for economic reasons, i think we should have, um, [SOME] quotas,",No,Yes,,,,
171282:63,"but i guess, i guess i like the system that they have  in [SOME] places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose it .",Yes,Yes,,,,
1939:10:00,"i saw [SOME] promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties .",No,Yes,,,,
11991:7,"and [SOME] of it runs off right away into the, in to the streams and rivers",Yes,Yes,,,,
134021:50,"and i think that it's, it's very surprising [SOME] of these very expensive volvos can be gotten  for a lot less money than you would think if you're willing  to buy ones that  are about, the vintage of the cars that you and i currently own",Yes,Yes,,,,
15332:88,"everybody i know  has been, well, i'm going  to go  get a goo-, good job and make [SOME] money and buy a nice car.",No,Yes,,,,
145355:18,"uh, i got in [SOME] problems with, uh, financial problems because of credit cards",No,Yes,,,,
65999:146,"but, uh, you know, i think, uh, they, maybe they need  to, uh, help  promote that more. give incentives like, uh, if they do bring somebody on, they will pay [SOME] of their costs or give tax breaks or whatever it is , you know, for them to train people, you know, stuff like that.",Yes,Yes,,,,
137619:16,but they're doing [SOME] stomping on virginia.,No,Yes,,,,
161653:6,"but [SOME] people are more motorboaters, you know which  is fine.",Yes,Yes,,,,
126165:57,"i've got where now i can hit it in, in the air [SOME] of the time .",Yes,Yes,,,,
148538:10,i have [SOME] dulcimer music.,No,Yes,,,,
103624:72,"it's just, you know, a possible solution in the future, i think , maybe to help in [SOME] ways.",Yes,Yes,,,,
155962:19,"and i think also [SOME] of the, uh, car companies are coming out with, uh, gas powered fleets so you,",Yes,Yes,,,,
138291:103,"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and [SOME] of those things that  would make, uh, [SOME] pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth",Yes; No,Yes; Yes,,,,
7267:12:00,"and painting and [SOME] wallpapering,",No,Yes,,,,
