some,position,weight
yes,14,0.11618771404027939
yes,14,0.1352265477180481
yes,14,0.09325437992811203
yes,14,0.09856333583593369
yes,14,0.08420518040657043
yes,14,0.09913670271635056
yes,14,0.10764335840940475
yes,14,0.09708885103464127
yes,14,0.05706078186631203
yes,14,0.056196097284555435
yes,14,0.11738302558660507
yes,14,0.16229164600372314
yes,14,0.08093483000993729
yes,14,0.13181844353675842
yes,14,0.13916413486003876
yes,14,0.20909278094768524
yes,14,0.08964565396308899
yes,14,0.2721741497516632
yes,14,0.1904626339673996
yes,14,0.24575039744377136
yes,14,0.06735849380493164
yes,14,0.08524206280708313
yes,14,0.11096029728651047
yes,14,0.17434655129909515
yes,14,0.06496115773916245
yes,14,0.0649406686425209
yes,14,0.1479181945323944
yes,14,0.06027321144938469
yes,14,0.060783740133047104
yes,14,0.09358590841293335
yes,14,0.17080241441726685
yes,14,0.12323743849992752
yes,14,0.0937175303697586
yes,14,0.1351066678762436
yes,14,0.08401723206043243
yes,14,0.1437399685382843
yes,14,0.08036293834447861
yes,14,0.09817194938659668
yes,14,0.08273804932832718
yes,14,0.07473235577344894
yes,14,0.06592811644077301
yes,14,0.06463298201560974
yes,14,0.09145349264144897
yes,14,0.06447750329971313
yes,14,0.06615693867206573
yes,14,0.077388696372509
yes,14,0.09385393559932709
yes,14,0.09850947558879852
yes,14,0.2030501365661621
yes,14,0.051550500094890594
yes,14,0.10954384505748749
yes,14,0.14280959963798523
yes,14,0.12706667184829712
yes,10,0.1679459512233734
yes,10,0.14833267033100128
yes,10,0.1429836004972458
yes,10,0.13461415469646454
yes,10,0.16478486359119415
yes,10,0.09597691148519516
yes,10,0.09576819092035294
yes,10,0.091463103890419
yes,10,0.08743908256292343
yes,10,0.09684280306100845
yes,10,0.09499803930521011
yes,10,0.09004376828670502
yes,10,0.06575983762741089
yes,10,0.06472330540418625
yes,10,0.11027855426073074
yes,10,0.08811028301715851
yes,10,0.0755438283085823
yes,10,0.17161968350410461
yes,10,0.09534434229135513
yes,10,0.14396324753761292
yes,10,0.19672958552837372
yes,10,0.08571425080299377
yes,10,0.07621560245752335
yes,10,0.10612878948450089
yes,10,0.17449386417865753
yes,10,0.11769583821296692
yes,10,0.10264993458986282
yes,10,0.08463793247938156
yes,10,0.10856180638074875
yes,10,0.08750426769256592
yes,10,0.13071607053279877
yes,10,0.06292490661144257
yes,10,0.3196520507335663
yes,10,0.12613877654075623
yes,10,0.08316070586442947
yes,10,0.12141569703817368
yes,10,0.1489650309085846
yes,10,0.07181630283594131
yes,10,0.07243599742650986
yes,10,0.10425236076116562
yes,10,0.12691223621368408
yes,10,0.1548069268465042
yes,10,0.09192326664924622
yes,10,0.14247934520244598
yes,10,0.13418880105018616
yes,10,0.10187618434429169
yes,10,0.0671963021159172
yes,10,0.12439744174480438
yes,10,0.06931465119123459
yes,10,0.06954752653837204
yes,10,0.08002179116010666
yes,10,0.1221417710185051
yes,10,0.08126863092184067
yes,10,0.06911960244178772
yes,10,0.07105550169944763
yes,10,0.0637250617146492
yes,10,0.10711651295423508
yes,10,0.061177343130111694
yes,10,0.08270654082298279
yes,10,0.09207116067409515
yes,10,0.08716734498739243
yes,10,0.11570825427770615
yes,10,0.11202951520681381
yes,10,0.07137352228164673
yes,10,0.16169801354408264
yes,10,0.10969240218400955
yes,10,0.11060607433319092
yes,10,0.11922220885753632
yes,10,0.11099013686180115
yes,10,0.12965373694896698
yes,10,0.11055581271648407
yes,10,0.09715162217617035
yes,6,0.09907376021146774
yes,6,0.09618230164051056
yes,6,0.11999557167291641
yes,6,0.0715222954750061
yes,6,0.15539327263832092
yes,6,0.15639032423496246
yes,6,0.08738993853330612
yes,6,0.09341293573379517
yes,6,0.12014856189489365
yes,6,0.08670251071453094
yes,6,0.049646079540252686
yes,6,0.11254137009382248
yes,6,0.12075310200452805
yes,6,0.11972513794898987
yes,6,0.07610900700092316
yes,6,0.11956973373889923
yes,6,0.12575669586658478
yes,6,0.15138207376003265
yes,6,0.18120968341827393
yes,6,0.16695980727672577
yes,6,0.087537482380867
yes,6,0.10850506275892258
yes,6,0.10381174087524414
yes,6,0.09938708692789078
yes,6,0.11110854148864746
yes,6,0.09219001233577728
yes,6,0.0796504020690918
yes,6,0.07566463202238083
yes,6,0.12041447311639786
yes,6,0.14580829441547394
yes,6,0.1362077295780182
yes,6,0.16071824729442596
