Item_ID	Sentence	20-b
53:48	and, um, she had used the walker for, for quite some time, probably about six to nine months.	###yeah.###.###fortunately, she only had --n4012e0 to stay a few weeks###and she was able --n40136e to, to return to her apartment again.###but it's really a big, uh, big, uh, decision as to, you know, when to do it --n4014a2.###.###yeah.###.###you know, is there something else we could have done --n401608, you know, in --n401623 checking out all the places that, uh, --n40164e might be available.###of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.###.###yeah.###.###.###uh-huh.###.###.###uh-huh.###yeah.###probably the hardest thing in, in my family, uh, my grandmother, she had --n40197f to be put --n401992 in a nursing home
362:44	that's just a matter of defining priorities, i guess or some priorities anyway.	###sure.###.###.###realistically it is.###.###and i, i think, i think that we may not, that may be, you know, perhaps if we put money on the back burner that may, that may choose --n407b1f to alleviate a lot of the problem.###.###uh-huh.###.###.###that would, certainly help.###.###i mean, i mean we may not, we may not have as high a standard of living###.###.###uh-huh.###.### but the qua-, but actually have a truer standard of living.###.###right.
456:25	um, but still, it gives it some variety.	###.###so, i predominantly wear flat shoes.###um, you know, in the winter i wear sweaters,###in summer i, you know, i like one piece dresses, short sleeves, things like that.###.###i've recently, um, tried --n400e84 to update my wardrobe, --n400e9f trying --n400eaa to put suits --n400ebd together that i can interchange, --n400edc the, jackets and the blouses and all that a lot.###.###right.###.###.###right.###.###that's helped me a lot with having,###i can only have a, a limited wardrobe, since i'm only, working part-time right now.###.###uh-huh.###.###.###uh-huh.###.
869:117	i think in a good example on the typical thing that --n4009a7 happens, uh, when the phone rang --n4009ce and it's t i --n4009ed calling, my immediate reaction is that it's some sort of strange phone message	###.###but it says when the conversation is over --n4054b2 just say your good-byes and hang up.###so, i, i guess so.###.###why don't we do that --n405623.###.###okay.###.###good-bye sharon.###.###good talking to you archie.###.###.###well, the first thing for me is i wonder, i see a couple of different ways of talking about what privacy is --n400076,###um, if privacy is something that --n4001ba disturbs your private state, i mean an invasion of privacy is something that --n4001f9 disturbs your private state, that's one thing,###and if privacy is something that --n40039f comes into your private state and extracts information from it, in other words, finds something --n4003ea out about you that's another.###and the first kind of invasion of, the first type of privacy seemed --n40056b invaded --n400576 to me, and very much everyday in this country,###but in the second time, at least overtly, uh, where someone comes in and, uh, finds out information about you that --n400716 should be private --n400729, uh, does not seem, uh, um, obviously, everyday.###.### i, i think i agree with that.
905:41	and you, one's feeling obligated, because of some sense of, of the way the ritual is played --n401dcc out --n401dd7.	###exactly.###uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab.###.### from, from personal parties or from these, um, phone answer, phone, uh, commercial things.###.###commercial, sol-, solicitations primarily.###.###.###oh, that, that's a remarkable number.###i get them rarely###and i'm still astounded that, that one, they let anyone do them and two, that they have any effect in this whatsoever.###um, because i'm usually so insulted by them i just hang up as soon as i recognize what, they are --n4017a7.###.###yeah.###.###i think they prey on people's, um, inherent politeness on the phone even with the machine.###i find people being kind of polite and waiting for it to finish what it has --n401a07 --n401a12 to say --n401a21,###and then they feel an obligation --n401b3d to respond even though there's not even a person there.###.###and i think that's what --n401c2f makes one feel invaded is the fact that there seems --n401c5e to be little control
1122:23	because anyone can be alone for some period of time	### tha-, that is true.###i haven't thought about that### and, and that it --n407b27's fascinating to, to think a lot of someone who --n407b5e doesn't know how --n407b75 to say private --n407b88.###.###uh-huh,###uh-huh.###and that's really, um,###well, i mean, i, i wonder how people have sex --n407dad, and things like that,###.###.###i mean, they a-,,###you go to india###and it's obvious, you know, the results of sex are quite obvious,, as the population goes up an extra hundred million every few years.###um, but i, i just don't quite, um,###there's hope,###i actually###for al-, of the time i've spent --n408226 there, i still don't quite understand how certain things that i assume --n408269 and require privacy and require not just that you be alone but actually that you have a sense of privacy --n4082c0.###.###yes.###.
1149:15	or they're introducing some new product in the area	###.###that's interesting.### are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded --n408a11 on a day-to-day basis or either on a growing frequency --n408a40.###.###all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which --n408c86 is more intrusive because i have --n408ca5 to really tell someone --n408cbc to go away.###and there's that sense of, i have now opened my door###they now see what i look like --n408f30, what i live like --n408f4b### and nor-, and they're doing something that normally i really only invite, people to --n409038.###.###okay.###.###because i, any, anyone, any friend, anyone i give my number to --n40918b is welcome --n40919a to call me,###but no one is just welcome --n40930d to come by my house.###so that is more of a sense of invasion.###.###so, that's another example of the invasion because of the not so...###.###.###have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer or somebody going down a list###and they're either offering a service
1177:17	i've even had some of them,	###.###that was the big one i'm talking about --n400555.###i work weird hours,###and invariably just about the time, i'm going --n400645 to sleep --n400654, the phone tears off the wall.###.###uh-huh,###uh-huh.###.###and you are trying --n400782 to crawl out of a half unconscious sleep and answer the phone,### you either hear, the cli-, as soon as you say hello, you hear the click of the recording coming on,###.###uh-huh.###.###or you hear somebody all ready starting, reading off a list of stuff that they've read --n400a08 probably a thousand times that day already.###.###that's true,###or the ones that --n400b78 are, are generated --n400b8f by a computer.###it's just a computer voice that --n400c61 comes on the line.###those are the ones that i really, really hate --n400d1f too.###.
1206:10	and then some of them are speaking in a foreign language that i don't even understand --n401aa7.	###and i go through them###and most of them aren't from anybody at all.###.###what i would love --n401258 to see --n401267 done to stop all of this,###.###uh-huh.###.###we've got a thing in this country,###you can have your phone number unlisted,###.###uh-huh.###.###and i think a law should be passed --n40147b to where any of these people,###i think it --n401557's great, that you know, freedom of speech in this country and everything,###but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.###.###uh-huh,###yes,###see i have an unlisted telephone number,###but i still get all of those calls
1214:19	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.	###you can have your phone number unlisted,###.###uh-huh.###.###and i think a law should be passed --n40147b to where any of these people,###i think it --n401557's great, that you know, freedom of speech in this country and everything,###but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.###.###uh-huh,###yes,###see i have an unlisted telephone number,###but i still get all of those calls###and then some of them are speaking in a foreign language that i don't even understand --n401aa7.###so, yeah,###i do,###i really feel that's, uh, an invasion of my privacy.###i agree with you on that particular subject there.### let me see.###.###that's about, that as far as any other everyday occurrences,
