Item_ID	Vector_Representation
100571:7	-0.10345667600631714,0.3725273311138153,0.44968339800834656,-0.428260862827301,-0.341601699590683,0.3490980565547943,-0.19298087060451508,0.2544131278991699,0.09279029816389084,-0.0832667201757431,0.266013503074646,0.08519331365823746,0.20270521938800812,0.023234307765960693,0.24539166688919067,-0.2951851189136505,-0.014228787273168564,0.30481839179992676,-0.4638878405094147,0.4959779381752014,0.27744874358177185,0.20122210681438446,0.053027838468551636,-0.28208625316619873,0.16771458089351654,0.01343094278126955,-0.209723562002182,-0.5752074718475342,0.2431001365184784,-0.39458167552948,-0.11172851175069809,0.6477736830711365,0.03301422297954559,0.009876602329313755,0.05480411276221275,0.23757478594779968,-0.08599098026752472,0.26299455761909485,0.18093077838420868,-0.32958561182022095,-0.41308850049972534,-0.11825062334537506,0.08805594593286514,-0.5166628360748291,-0.37224557995796204,-0.014356876723468304,0.2488076388835907,-0.2990266680717468,-0.2018720954656601,-0.924790620803833,-0.04585154727101326,0.012653582729399204,0.030281834304332733,0.989624559879303,-0.3323463499546051,-2.261883020401001,0.13037770986557007,-0.048687826842069626,1.378572940826416,0.4627205431461334,-0.030586719512939453,1.0176891088485718,-0.39625105261802673,0.0380537249147892,0.7587131857872009,0.05798972398042679,0.7400900721549988,0.4276360869407654,0.05353391543030739,-0.1711585521697998,0.010941498912870884,-0.24304737150669098,0.05620278790593147,-0.3361787796020508,0.14293454587459564,0.048867836594581604,-0.13049834966659546,-0.035118769854307175,-0.5743004679679871,-0.0022991676814854145,0.5852978229522705,-0.09048794955015182,-0.7366888523101807,0.09187934547662735,-1.4427903890609741,-0.18054117262363434,-0.0037764476146548986,-0.11349739134311676,-0.26474085450172424,-0.4327413737773895,-0.03539777174592018,-0.1591082364320755,-0.003006391227245331,-0.09338506311178207,-0.6534058451652527,-0.12055855244398117,-0.1752127707004547,-0.3398342430591583,0.3345603346824646,0.4044005870819092
100584:49	-0.16911932826042175,0.3978556990623474,0.31805795431137085,-0.3628249168395996,-0.34065577387809753,0.4120025336742401,-0.17763549089431763,0.3652321994304657,-0.05073755607008934,-0.16348984837532043,0.2619594633579254,-0.05582507699728012,0.25179237127304077,0.279633492231369,0.10616692155599594,-0.29997506737709045,0.009759522043168545,0.15605662763118744,-0.6358640193939209,0.3189207911491394,0.15099669992923737,0.09136147052049637,0.12331561744213104,-0.3905966877937317,0.08711963146924973,-0.012433839961886406,-0.3310903012752533,-0.5798248052597046,-0.0018832042114809155,-0.3053092360496521,-0.197296142578125,0.5290573835372925,-0.01312399934977293,0.04742399975657463,0.08157838135957718,0.7074596881866455,-0.033466458320617676,0.35394811630249023,0.10049501806497574,-0.39493924379348755,-0.18301428854465485,-0.38643279671669006,-0.08832791447639465,-0.5332422256469727,-0.08772052079439163,0.14158423244953156,-0.19346405565738678,-0.31350958347320557,0.08861061930656433,-0.7872730493545532,-0.010284109972417355,-0.1240592747926712,-0.04495961219072342,0.9748124480247498,-0.19977129995822906,-2.248717784881592,0.12557414174079895,-0.07067476212978363,1.6028155088424683,0.3735438585281372,-0.1997753083705902,0.9092162251472473,-0.13339407742023468,-0.033624690026044846,0.6617454290390015,-0.044303007423877716,0.6508623361587524,0.15688155591487885,0.20926325023174286,-0.3690043091773987,-0.1417793184518814,-0.37934744358062744,0.14242638647556305,-0.4040169417858124,0.024388771504163742,0.35111311078071594,-0.24274422228336334,-0.07464306056499481,-0.35028547048568726,0.03222992271184921,0.46859121322631836,0.052185773849487305,-0.42533791065216064,0.15744644403457642,-1.3446500301361084,-0.20341111719608307,0.1031777560710907,-0.05301400274038315,-0.32460081577301025,-0.2905353605747223,0.11681723594665527,-0.2556284964084625,0.15277400612831116,-0.13404110074043274,-0.7935068607330322,-0.19725455343723297,-0.15224048495292664,-0.31405922770500183,0.7088852524757385,0.40240171551704407
100603:25	-0.06648428738117218,0.34070226550102234,0.42437678575515747,-0.27265578508377075,-0.2831450402736664,0.1491074562072754,-0.24139700829982758,0.18245261907577515,0.18762658536434174,-0.19405950605869293,0.16656099259853363,0.2330394834280014,0.38578200340270996,-0.09504593908786774,0.05659247189760208,-0.3318999409675598,0.052404310554265976,0.17626498639583588,-0.2958424985408783,0.40239834785461426,0.10398079454898834,0.008374903351068497,0.007548892870545387,-0.21908318996429443,0.06609063595533371,-0.01790071837604046,-0.1841876357793808,-0.4809494614601135,-0.019549986347556114,-0.2532624304294586,0.0018840719712898135,0.5856279134750366,-0.06776011735200882,-0.044948551803827286,0.04811374098062515,0.2972971200942993,0.025332894176244736,0.17032490670681,-0.10528028756380081,-0.23522554337978363,-0.4358122944831848,-0.13160930573940277,0.15292240679264069,-0.4011644721031189,-0.15503832697868347,-0.12105780839920044,0.30519846081733704,-0.3196183145046234,-0.07630597054958344,-0.7709577679634094,0.029421573504805565,-0.08775217086076736,0.1966804414987564,0.9337654709815979,-0.17754773795604706,-2.0942044258117676,0.06328072398900986,-0.24531307816505432,1.4504681825637817,0.5220417380332947,-0.12465500086545944,0.6613882184028625,-0.24087069928646088,0.09348123520612717,0.8007045388221741,0.028149032965302467,0.5029091238975525,0.3141382336616516,0.08448724448680878,-0.27775537967681885,0.09294364601373672,-0.48483479022979736,-0.10052268952131271,-0.28553950786590576,0.24747143685817719,-0.14901819825172424,-0.10129658877849579,-0.10653901845216751,-0.8013225197792053,0.09550320357084274,0.5942614078521729,-0.07809342443943024,-0.6143141388893127,0.01791740022599697,-1.3117424249649048,-0.2607083022594452,0.09604007005691528,-0.1343880146741867,-0.2797955870628357,-0.4887048602104187,-0.19600911438465118,-0.1764836460351944,-0.1400940716266632,-0.101303830742836,-0.4513782858848572,-0.04534145072102547,-0.06075558066368103,-0.28824618458747864,0.3886503577232361,0.2784763276576996
100784:45	-0.0017868547001853585,0.165617436170578,0.05609992519021034,-0.2816771864891052,-0.20532478392124176,0.03183157369494438,-0.08596030622720718,0.3580611050128937,-0.12867872416973114,0.32879287004470825,0.08413664251565933,-0.09994078427553177,0.1245604157447815,0.19059385359287262,0.1325438767671585,-0.38264843821525574,0.20311391353607178,0.15716442465782166,-0.5520545244216919,0.3095912039279938,0.04782737046480179,0.2415114790201187,0.3286028802394867,0.14323410391807556,0.047826606780290604,-0.25219690799713135,-0.1492563635110855,-0.6151026487350464,-0.06941761821508408,-0.09613283723592758,-0.28451013565063477,0.4536355137825012,-0.12865957617759705,0.2389563024044037,-0.17244349420070648,0.3200003504753113,-0.16003943979740143,0.45284196734428406,-0.16681073606014252,-0.10067121684551239,-0.5548078417778015,-0.1330704391002655,-0.25127649307250977,-0.3508613109588623,-0.06980250030755997,-0.024088289588689804,0.3213891088962555,-0.3054819405078888,0.12971332669258118,-0.6544418334960938,-0.4044615924358368,-0.18785957992076874,-0.07160713523626328,0.9684764742851257,-0.38688141107559204,-2.2014400959014893,0.1419026404619217,-0.3986685574054718,1.4623651504516602,0.2971886694431305,-0.2146764099597931,0.753506600856781,-0.2914658486843109,0.011439586989581585,0.5282394289970398,0.005717635154724121,0.5854864716529846,0.20200099050998688,0.2577701508998871,0.05560971051454544,0.22879643738269806,-0.2718632221221924,-0.08369342237710953,-0.5479356646537781,0.018747856840491295,0.15344615280628204,-0.03359328582882881,0.06477199494838715,-0.6521167159080505,-0.0017517252126708627,0.6134024262428284,0.060664381831884384,-0.2919021248817444,-0.09918712079524994,-1.4721229076385498,-0.04847992584109306,0.04275892302393913,-0.34025415778160095,-0.21673370897769928,-0.2630673348903656,-0.13048601150512695,-0.14558306336402893,-0.07374424487352371,0.2103492021560669,-0.6646643280982971,0.05959943309426308,-0.23311592638492584,-0.439939022064209,0.5771808624267578,0.1094573587179184
100820:27	0.0003428443451412022,0.41056543588638306,0.0839233547449112,-0.43460023403167725,-0.3510475158691406,0.2756787836551666,-0.15528425574302673,0.23883141577243805,0.0948132649064064,-0.11235011368989944,0.14361771941184998,-0.08499851077795029,0.4348645508289337,0.11429531872272491,0.022736268118023872,-0.37144896388053894,0.13578657805919647,0.26892808079719543,-0.6778028607368469,0.3895162343978882,0.17697638273239136,0.2800205945968628,0.15475158393383026,-0.11045021563768387,-0.09432008117437363,-0.162385031580925,-0.17276819050312042,-0.5828284025192261,0.1340550184249878,-0.2709205746650696,-0.0726318359375,0.3635751008987427,0.018051311373710632,0.026446787640452385,0.1807875633239746,0.1923907846212387,-0.017198041081428528,0.37640380859375,0.04189199581742287,-0.16123788058757782,-0.48870664834976196,-0.03145057335495949,-0.019659578800201416,-0.33546051383018494,-0.21915295720100403,-0.2435206174850464,0.2665310502052307,-0.18366599082946777,-0.012194144539535046,-0.6669705510139465,-0.19526830315589905,0.11459193378686905,-0.15474414825439453,0.8801840543746948,-0.2057044804096222,-1.9739395380020142,0.11593041568994522,-0.12361673265695572,1.3636430501937866,0.5183386206626892,-0.22093753516674042,0.8344713449478149,-0.2639317810535431,-0.21270759403705597,0.6964172720909119,0.06791894882917404,0.5929923057556152,0.2957747280597687,0.27708253264427185,-0.13522659242153168,0.22779174149036407,-0.448342889547348,-0.02168615721166134,-0.6453474164009094,-0.002717203227803111,-0.01078795175999403,-0.0476750023663044,-0.014755264855921268,-0.63965904712677,-0.07099294662475586,0.5705115795135498,-0.13654541969299316,-0.4896394908428192,0.08807750791311264,-1.505298376083374,-0.2646092474460602,-0.015021261759102345,-0.1950983852148056,-0.2761121988296509,-0.2702513039112091,-0.0990709513425827,-0.29937317967414856,-0.08553502708673477,0.06649795174598694,-0.6024847030639648,-0.04168989509344101,-0.3850915729999542,-0.3264863193035126,0.4815347194671631,0.3815222978591919
100889:88	-0.11041045188903809,0.25719189643859863,0.550363302230835,-0.47731560468673706,-0.3168541193008423,0.15558016300201416,-0.06830839812755585,0.20901675522327423,0.06750117242336273,-0.06429685652256012,0.10004135966300964,0.20635825395584106,0.2684031128883362,-0.09915764629840851,0.24774287641048431,-0.35467907786369324,-0.03982781991362572,0.16085131466388702,-0.40678369998931885,0.40719127655029297,0.30325958132743835,0.05470950901508331,0.1111869141459465,-0.009398301132023335,0.23613624274730682,-0.05969427898526192,-0.13119404017925262,-0.6435180306434631,0.14858824014663696,-0.358873575925827,-0.13150818645954132,0.48800745606422424,-0.07691054046154022,0.10272937268018723,-0.049967411905527115,0.28091251850128174,-0.03198087215423584,0.34511807560920715,-0.020973138511180878,-0.19147606194019318,-0.44631317257881165,-0.21848589181900024,0.12172055244445801,-0.40526914596557617,-0.20644059777259827,0.028968453407287598,0.31229689717292786,-0.28388911485671997,-0.0010119215585291386,-0.7723585367202759,-0.1528846174478531,-0.12266034632921219,0.10653391480445862,1.0121612548828125,-0.2918540835380554,-2.251342535018921,0.07439903914928436,-0.1580466777086258,1.4001914262771606,0.5059036612510681,-0.08965637534856796,0.7807013988494873,-0.3776089549064636,0.09571946412324905,0.7219354510307312,0.12500813603401184,0.5543372631072998,0.3783934414386749,0.0015075057744979858,-0.2340841293334961,0.15416091680526733,-0.31941425800323486,-0.07674017548561096,-0.42386582493782043,0.13895149528980255,0.03394216299057007,-0.05893474444746971,-0.09122221916913986,-0.7990608811378479,0.17992685735225677,0.5410582423210144,-0.07321682572364807,-0.5631772875785828,-0.01652819663286209,-1.4085793495178223,-0.18044744431972504,0.17545925080776215,-0.15641909837722778,-0.2658834159374237,-0.35455483198165894,-0.06405837088823318,-0.16984595358371735,-0.154226154088974,0.03133624792098999,-0.4361107647418976,-0.13932396471500397,-0.07435139268636703,-0.2840801477432251,0.3359765112400055,0.2645271122455597
100975:27	-0.019333945587277412,0.2734757363796234,0.37476611137390137,-0.28561437129974365,-0.14948754012584686,0.13956893980503082,-0.22818705439567566,0.20972463488578796,0.030220894142985344,-0.08351460099220276,0.12794475257396698,0.10118051618337631,0.4868265986442566,0.030558109283447266,0.14706109464168549,-0.2553424835205078,0.11009237915277481,0.07383067905902863,-0.3850260376930237,0.3026210367679596,0.23475192487239838,0.08577785640954971,0.22722101211547852,-0.1750658005475998,-0.03507215902209282,-0.17898577451705933,0.11115578562021255,-0.4360792636871338,-0.09678834676742554,-0.22742021083831787,-0.10464827716350555,0.3390820622444153,0.0434434749186039,0.09942859411239624,0.09831947088241577,0.12346203625202179,0.08821716159582138,0.40765124559402466,-0.03411305323243141,-0.14210151135921478,-0.5128388404846191,-0.15081632137298584,0.14748813211917877,-0.37253254652023315,-0.13532115519046783,-0.08114978671073914,0.3811282217502594,-0.2978506088256836,-0.07942426949739456,-0.6955768465995789,-0.010907156392931938,-0.12175334244966507,0.102533720433712,0.9668335318565369,-0.218636155128479,-2.290689468383789,0.10585146397352219,-0.27739763259887695,1.520366907119751,0.6437405347824097,-0.15903684496879578,0.8295758366584778,-0.16774652898311615,0.1093364730477333,0.8698267936706543,0.08225736767053604,0.6255646347999573,0.29992473125457764,0.20025567710399628,-0.3123648762702942,0.20209603011608124,-0.5023564100265503,-0.12350384891033173,-0.3223129212856293,0.13397164642810822,0.1144886389374733,0.07169976085424423,0.002214797306805849,-0.9965259432792664,0.006564157549291849,0.5916396379470825,-0.007121842820197344,-0.5893315672874451,0.09187287837266922,-1.5216832160949707,-0.1705959141254425,-0.027327317744493484,-0.2366398274898529,-0.2752891480922699,-0.35333672165870667,0.019650418311357498,-0.23440857231616974,-0.13815456628799438,0.1260373592376709,-0.3711636960506439,-0.023200685158371925,-0.2877236008644104,-0.3528151512145996,0.5001843571662903,0.39156416058540344
101025:37	-0.16557687520980835,0.3324294090270996,0.33272457122802734,-0.3142261505126953,-0.10309955477714539,0.23101678490638733,-0.2153528332710266,0.16382087767124176,0.05232024937868118,0.06452807039022446,-0.01699487492442131,-0.12742304801940918,0.3565732538700104,0.12093978375196457,0.20940420031547546,-0.41757509112358093,0.017763376235961914,0.008097190409898758,-0.3313940465450287,0.31154513359069824,0.3142834007740021,0.15584948658943176,0.3253362774848938,0.10394750535488129,-0.09571465104818344,-0.2919318974018097,0.05037694424390793,-0.49645039439201355,-0.03212995454668999,-0.14030125737190247,-0.007640000432729721,0.16760843992233276,-0.07429668307304382,0.05959594249725342,-0.03126706928014755,0.2768417298793793,0.05227801576256752,0.30814874172210693,-0.17596957087516785,-0.030653875321149826,-0.5809324979782104,-0.1644895374774933,-0.13471543788909912,-0.4003078043460846,-0.08885513246059418,0.08911251276731491,0.31261157989501953,-0.28167402744293213,-0.18353204429149628,-0.5082457065582275,-0.1727897673845291,-0.27696341276168823,-0.042364589869976044,1.0756237506866455,-0.26108112931251526,-2.065668821334839,0.13615499436855316,-0.36399367451667786,1.5219824314117432,0.5278275012969971,-0.36567041277885437,0.8760143518447876,-0.17799536883831024,0.2689049243927002,0.6562572121620178,0.16584548354148865,0.599109947681427,0.250413179397583,0.32020461559295654,-0.10879499465227127,-0.16812960803508759,-0.3015879988670349,-0.27716919779777527,-0.5250566005706787,0.04130206257104874,0.10757975280284882,-0.026205314323306084,0.03421342372894287,-0.8376120328903198,0.038902491331100464,0.6673399806022644,-0.03675327077507973,-0.354002982378006,0.0036464687436819077,-1.4741106033325195,-0.06059306114912033,-0.08700825273990631,-0.1459456831216812,-0.3160274624824524,-0.25093185901641846,-0.1174708753824234,-0.07072587311267853,-0.3561846613883972,0.011932503432035446,-0.7659249305725098,0.044393252581357956,-0.2652581036090851,-0.36461010575294495,0.6422463059425354,-0.019403373822569847
101121:88	-0.16984112560749054,0.23426881432533264,0.21738968789577484,-0.2036270946264267,-0.10480859130620956,0.23218762874603271,-0.3443599343299866,0.07981117814779282,0.012966939248144627,0.06804878264665604,0.01485974807292223,-0.17772862315177917,0.1956643909215927,0.1158018708229065,0.14460662007331848,-0.4002145826816559,0.20418092608451843,0.11343150585889816,-0.6134162545204163,0.24821223318576813,0.0637178048491478,-0.15338389575481415,0.36243966221809387,0.034113239496946335,-0.05450651794672012,-0.22926893830299377,-0.13863825798034668,-0.5213207006454468,-0.02803191728889942,-0.053618211299180984,-0.1582791805267334,0.36935392022132874,-0.20705139636993408,0.13972070813179016,-0.05222707241773605,0.2391258031129837,0.045326050370931625,0.2964628338813782,-0.11498948186635971,-0.06450817734003067,-0.45283859968185425,-0.18465878069400787,-0.1252308338880539,-0.4719178080558777,-0.20020388066768646,0.16028152406215668,0.22312423586845398,-0.12751691043376923,-0.13110901415348053,-0.5945096015930176,-0.13885977864265442,-0.20125775039196014,-0.12657012045383453,1.1768245697021484,-0.03718278557062149,-2.1265206336975098,0.255718857049942,-0.35263291001319885,1.4674837589263916,0.4286586344242096,-0.1612413227558136,0.6857274770736694,-0.21768926084041595,0.004971896763890982,0.763444721698761,0.06365977227687836,0.43265658617019653,0.2626626491546631,0.3925822377204895,-0.21671555936336517,-0.018660008907318115,-0.2935679256916046,-0.13581699132919312,-0.4491763114929199,0.16556870937347412,0.15020887553691864,-0.12760715186595917,0.14947040379047394,-0.6468931436538696,0.01812896318733692,0.6824275255203247,0.09888744354248047,-0.2655428349971771,0.09671538323163986,-1.5880680084228516,-0.011278101243078709,-0.018371421843767166,0.11646507680416107,-0.3709279000759125,-0.280699759721756,-0.13266399502754211,-0.10406309366226196,-0.15654918551445007,-0.09026756137609482,-0.523887038230896,-0.018336070701479912,-0.15036973357200623,-0.5130279660224915,0.6238412261009216,0.1869572550058365
101243:85	-0.09421703964471817,0.3235698640346527,0.2711864113807678,-0.19889822602272034,-0.2411210685968399,-0.0027007649186998606,-0.3302582800388336,0.1428104043006897,0.0949515849351883,-0.01919472962617874,0.08524782955646515,0.03809836879372597,0.25714102387428284,-0.09592821449041367,0.01673768274486065,-0.426604300737381,0.05995849147439003,0.31058385968208313,-0.5910101532936096,0.4356115162372589,0.17524021863937378,-0.03758741170167923,0.1613035798072815,-0.13360881805419922,0.04565891996026039,-0.035257719457149506,-0.12892140448093414,-0.6658995151519775,0.19974614679813385,-0.31484365463256836,-0.1353214979171753,0.6354448795318604,-0.16729003190994263,0.1696305125951767,0.0768163651227951,0.3146401345729828,-0.029936226084828377,0.2863188087940216,-0.07249828428030014,-0.12187390774488449,-0.467320054769516,-0.1499270498752594,-0.10833457112312317,-0.48626944422721863,-0.18050312995910645,0.0004766339552588761,0.1961376667022705,-0.23846836388111115,0.008327499963343143,-0.8081632852554321,-0.08735542744398117,-0.10205645114183426,0.002046942710876465,1.0662223100662231,-0.10690199583768845,-2.051363229751587,0.18386982381343842,-0.30827534198760986,1.525950312614441,0.3624846935272217,-0.058348190039396286,0.6533622145652771,-0.33853286504745483,0.018327228724956512,0.7203004956245422,0.11480654031038284,0.4936116933822632,0.41513776779174805,0.14212872087955475,-0.30020877718925476,0.11302164196968079,-0.35786187648773193,-0.07908104360103607,-0.5767890810966492,0.1127140000462532,0.05496295541524887,-0.1957484632730484,-0.14413827657699585,-0.542250394821167,-0.04051435366272926,0.6321191191673279,0.08875773102045059,-0.49221351742744446,-0.12469355762004852,-1.4638926982879639,-0.16748584806919098,0.14993135631084442,0.036478593945503235,-0.22999407351016998,-0.30148860812187195,-0.10618999600410461,-0.1269771158695221,-0.128526508808136,-0.21221843361854553,-0.5888518691062927,-0.08762398362159729,-0.10416055470705032,-0.41651132702827454,0.4469985067844391,0.22297759354114532
