"Item","Sentence","MeanEmpirical","MeanPredictedVector","MeanPredictedVectorPred","MeanPredictedFixed","MeanPredictedFV","MeanPredictedFVP"
"100571:7","and some of them, i think  unconsciously do it, you know, as a just, you know, half seni-,",5.9,4.60542431488403,5.64829471170244,5.70718617801544,5.47738497847164,5.64739356411714
"100584:49","you know, go to the dining room and, and eat some good meals.",2.4,2.99820087702034,2.42456396387994,3.57195314773843,3.25960153877449,2.52178573350871
"100603:25","usually there has  to be some wealth involved, which  is great, if, if you're financially, if, if you don't make the decisions so late that you're worried about money",3,3.67440170434965,3.09125226018109,3.2150955310744,3.1874205937152,3.03750060410154
"100784:45","and, uh, i had opportunities in high school, to work in some programs, um",3.7,3.18208414891321,3.00096143640121,3.64533893943816,3.62700583461328,3.04238902835161
"100820:27","um, but i do know through some organized groups like scouts and church um, they, do still have opportunities.",3.9,3.60084672854426,3.58687484544889,2.91038284379079,2.88477478623634,3.42680040355674
"100889:88","and maybe, uh, maybe this would be a way to get that feeling back . um, if we've lost some of that",3.9,3.44180598965453,2.91381151563858,5.16084608679809,4.50637105914745,3.24397368230489
"100975:27","i'm glad that there are still some areas that, that  get the youth involved  in that sort of thing.",3,4.168558624425,4.51592846953483,2.9811846180975,3.33799030205178,4.32369040481875
"101025:37","but from talking to people in other districts there are some major problems, uh, with dropouts.",2.9,4.32958750386679,3.26700090098457,3.74943058187698,4.23204088047487,3.31301430984789
"101121:88","and schools now are supposed  to solve social problems, uh, mental and emotional problems as well as educate the kids and try  to provide them with some security.",3.2,3.46502995463341,3.0307837034849,3.50360704458148,3.34240826084013,2.99872084666346
"101243:85","and let everyone have an opportunity to reach higher education if they're willing, you know,  to work and have, uh, some ability.",2.1,3.42605552507798,2.54667148047805,3.05192243566712,2.86788255213125,2.46207765401061
"101449:50","this is something that  ought  to be in the schools rather than some of the other stuff they do .",4,4.7233288201711,4.49405078443028,4.68649314769416,4.87549155541839,4.60723499007242
"101464:11","so, in some ways i think  the, the day schools do serve those purposes.",4.3,4.5307538765285,3.43493433442081,3.35517982105749,4.01286884044894,3.36796165718865
"102005:100","it, it's, as much as you want, you know torn up and, and rice and cream of chicken soup and some mayonnaise and lemon juice and celery",1.5,2.23707416365745,2.83203492691549,2.63359386135864,2.07655769322684,2.65700625356309
"102016:6","and some hard-boiled eggs.",2.8,3.15926824444856,3.2738250439838,2.88358678700184,2.86140842655983,3.13914682292917
"10235:39","unfortunately the rangers don't spread it around quite as big as some of the other teams do.",3.9,4.483142609657,4.21686492226121,4.89543109385837,4.64835592650587,4.36142417576592
"102431:45","i know they do do some, they do have some classes   in, um, high schools and things for kids  to, uh, give them an idea of what family life is like  and the, uh, you know, and, uh, that kind of thing",4.3,4.28688240508624,4.61923851616369,3.46691573529627,3.64986331795773,4.45336772721945
"102546:21","and i'm not fond of some of those things",3.2,5.79737199571539,4.0493817528608,4.98532917700136,5.08855145558132,4.20701602993394
"102781:19","i went to dinner with some friends last weekend",4.5,2.87488090110673,3.64753298584389,2.77193452652585,2.76947492355223,3.4089281618991
"102998:7","but some of the different things we're doing , uh there's just not a time, enough time to do it all",4.1,4.01690766799403,4.30505463572196,4.6984690256311,4.51970338849972,4.39673806809998
"103194:37","my in-laws also enjoy prime rib, when they've had some of their specials on sunday, monday, or tuesday night",3.6,3.24609558527339,2.92210754140702,4.41855545750811,4.30412700704121,3.11805506384252
"103477:18","but i know in some areas, it's really, it, it really is bad.",6,4.33226870513762,5.98320880760344,4.130876722795,4.53008516037345,5.89014279932865
"103563:4","some people are really afraid to recycle the fuel because they're afraid it could become, uh, bomb quality.",5.2,4.97379316084624,5.19554291172355,5.41321504606624,5.68202912175526,5.32903784415234
"103574:12","my line gets some static.",2.6,3.16211068590842,2.10254094127318,3.26889696624884,2.64477635950125,2.13294671054055
"103624:72","it's just, you know, a possible solution in the future, i think , maybe to help in some ways.",5.4,3.80902085305737,4.57667843030976,3.49863458136283,3.72137207316754,4.44730425182052
"103644:40","i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well.",5,4.16308028098506,3.93853627811002,5.33515592657975,4.88316673224167,4.21671988330139
"103644:84","i, i think, with solving some of the energy, future energy problems, we'll probably solve some of the pollution problems as well.",6.3,4.31186696611361,4.03698429728423,5.31893348664177,4.89211156726424,4.26717633291778
"103701:14","we'll have some interesting discussion, i guess .",2.3,2.97993962979895,3.14806667807568,3.35565397203414,3.18112780920055,3.13129701969758
"103788:26","but you know i guess to some people it 'd almost be better  to die to them than to spend life in prison or whatever",6.4,4.56762942274482,5.24206928038365,4.50602689428626,5.03752171246647,5.29958375258926
"103868:139","i mean, i'm, i'm not saying i, i think capital murder or capital punishment is the perfect solution in every case, you know, especially because there are some cases when you just don't know",5,4.89923808789811,5.52935923100029,3.00607510706795,4.06163917316074,5.23881236697366
"103911:47","and, and, it really isn't, for some people tha-, who  have been there for over, and over, and over, it really isn't, uh, as bad.",4.7,3.49377866731371,3.64998120921273,4.08931504986203,3.88003000945203,3.76364264109223
"104196:61","not, not, you know, the bouncy, you know sing along kind but some of the old, older ones that",3.2,4.91751468018686,4.25504592258731,4.61926639461126,4.7950782840117,4.33416248221686
"104230:49","it's kind of haunting, you know, on, on some of the notes.",5.2,5.01271425103982,5.88717787914688,5.2878789975109,5.27960571622705,5.98098331913449
"104255:44","does it, does it offer, like band, or some of the instruments.",3.1,4.55141258020011,2.65557609893672,4.73795150252068,4.86036130474838,2.83979104392124
"104342:23","and i couldn't tell whether some parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were .",4.6,3.76690285758257,4.71120247258756,3.5659579430142,3.29502317234666,4.59154582071614
"104694:41","and there's some, i think there's some good disney movies fixing to come out on video, uh, shipwrecked.",2.5,3.72929056451822,2.76509893075369,3.3490200443186,3.80515758645362,2.77861987693571
"105043:10","i got some good recipes from them sometimes,",3.7,3.40892570528748,3.74332338570283,2.97715449836067,2.74223004363724,3.56608079029732
"105338:42","uh, some people just, uh, i've heard some people just talking in our group of friends that they just feel it's an invasion of privacy and things like that,",5.4,4.60043972122855,4.95461228233535,4.92980070451544,5.0221029386908,5.00152343677952
"105485:20","but, uh, we did some water skiing , of course, and, and, uh, driving around the lake in the boat",3.2,3.00524475485696,2.37270463608107,3.15583907170592,2.69414036823504,2.39360157654724
"105896:51","and i think it 's good that they're trying  to start some programs down in the elementary schools.",2.3,4.19622324997754,2.62375453379006,3.68078148024425,4.04264927718667,2.6423705917318
"106267:29","i'd have  to go back through some expense reports.",5,3.20686174126269,5.34821082493676,3.31765493904867,3.57034787033458,5.1940943732864
"106391:27","this is going  to give me some more places to go .",2.9,3.7514979901094,2.52717933914319,3.50668536587707,3.62894539859415,2.60037466643497
"106437:19","but i think that at some times it can be the right thing to do",6.7,4.04093260290361,5.95850080138678,3.57505758578115,3.60965559834227,5.71598274383621
"106565:53","well that's, yeah, that's right that the children have some responsibility   too, to their parents and such, to help decide what s the right thing.",4.1,4.46418313077884,4.28418177911337,2.98236449670441,3.4578620313238,4.07452289514145
"106619:25","and the second one was i bought some toys at a, um, at a craft fair.",3.5,4.06269269371976,3.19725677670107,3.3660089592887,3.41549056018178,3.07962465268245
"106658:65","i had  to drive to the store with paper towels all over my hands to go  buy some paint thinner, and mumblex and everything like that,",3.1,3.15599006709174,2.32873729246043,3.06240041682293,2.93478158508781,2.31613995470059
"106691:93","well, um, so to speak, i had  to paint this, uh, the inside of this warehouse thing that you keep some, um, farm equipment in",4.2,3.31768081760556,3.60885365500998,2.76470032537696,2.87556508731747,3.44021459905905
"107258:36","and i think though that we need  to have some liquid  around that you don't have  to go through the company  to get .",2.6,3.53504460466665,2.3041399330527,3.73304696591632,3.53276714650478,2.38086327383055
"107469:25","and there are, you know, some places that  will set up you know for old newspapers and stuff.",5.2,3.76556388757135,4.91839128246304,3.16684895069186,3.56585601825441,4.73418628968586
"107709:28","and i think we'll probably experience some of your weather although i think they have more humidity.",3.5,3.72167446386552,2.89326033941991,4.13817979816039,4.26733628298106,3.02853371518474
"107796:20","i have been involved in some political campaigns and that kind of thing,",5.4,4.12396316573455,5.1433438702396,3.52706538484422,3.69525270698387,4.94618205167823
"107802:43","i, it, i have worked in some campaigns",4.8,3.78517412915716,4.39761772215778,3.73241292385863,4.47427207232013,4.33717134781923
"107909:42","and i don't know why we couldn't have duplicate voting on some of this .",4.3,4.23737487825269,4.69181927821311,4.49009090080356,4.43249293683306,4.66042993639582
"108182:30","i guess you have  to take some things and leave some things.",4.2,3.76435504526435,3.94542505690474,4.03767071932773,3.99481686402604,4.00128046081726
"108182:40","i guess you have  to take some things and leave some things.",5,3.66054096639916,3.89794116760007,3.69041955134808,3.65467836335752,3.87217776426875
"108349:80","so you don't have  to, you don't have  to buy the lot of the wardrobe that some of the people in banking and that kind of thing do .",5.6,4.44331780908825,4.83918088501589,4.98376369070917,4.72510956831529,4.98303555331525
"10841:72","but, uh, uh, it, it did show some, some, uh, some interesting things about the f b i",3.3,3.53308104232156,2.9503433667419,3.28158658662628,3.40043304203795,2.93737689007459
"108521:93","uh, lot of the shows that, that i've liked  in the past, like, uh, oh, golden girls and, some of them tend  to get so risque,",5.2,4.48720817485471,4.94316562044313,5.60070760061145,5.4436192621729,5.04479596343835
"108737:78","and, uh, a lot of it is, has a lot  to say , or some of it has a lot  to say ,",4.8,3.92324365536101,4.65864343688356,5.57620753909799,5.31727577199273,4.82678315371929
"108744:71","uh, well, it, it's, it's, it really expresses some of the opinions of, of the people who  enjoy the music",4.9,5.57280547077535,5.01246906173235,4.39634333281501,4.92791442689597,5.02128349588773
"108757:10","um, some of it, um,",6.2,5.1988940749685,5.63092775100003,6.09542086916531,5.15431352229022,5.87572845281084
