tgrep_id,Mean,Var,YMin,YMax
100571:7,4.9,4.322222222222222,3.5,6.1
100584:49,4,2.888888888888889,3,5
100603:25,2.4,1.8222222222222224,1.6,3.2
100784:45,4.9,4.544444444444444,3.6,6
100820:27,4.7,4.9,3.5,6
100889:88,5.9,1.6555555555555554,5.1,6.6
100975:27,3.7,3.122222222222222,2.6,4.6
101025:37,3.8,3.2888888888888888,2.7975000000000003,4.8
101121:88,3.9,6.544444444444445,2.4,5.3
101243:85,3.3,4.677777777777777,2,4.7
101449:50,4.4,4.711111111111111,3,5.6
101464:11,4.5,3.388888888888889,3.4,5.5
102005:100,3.4,5.155555555555555,2.2,4.7
102016:6,3.5,5.2105263157894735,2.59875,4.5
10235:39,3.7,6.455555555555557,2.3,5.2
102431:45,3.7,3.3444444444444446,2.5975,4.7
102546:21,4.7,2.677777777777778,3.8,5.6
102781:19,2.9,4.322222222222223,1.7,4.2
102998:7,4.7,2.011111111111111,3.9,5.5
103194:37,3,2.6666666666666665,2.1,4
103477:18,5,2.2222222222222223,4.1,5.9
103563:4,5.9,1.877777777777778,5.1,6.6
103574:12,3.7,3.7888888888888883,2.6,4.8
103624:72,4.9,3.6555555555555554,3.7,6
103644:40,5.9,2.322222222222223,4.9,6.6
103644:84,5.2,3.955555555555555,4,6.3024999999999975
103701:14,2.7,1.5666666666666667,2,3.4024999999999976
103788:26,5.6,2.2666666666666666,4.6,6.3
103868:139,3.9,3.6555555555555546,2.7,5
103911:47,5.6,2.2666666666666666,4.7,6.4
104196:61,4.8,2.177777777777778,3.8,5.6
104230:49,4.6,3.822222222222222,3.5,5.7
104255:44,3.4,2.711111111111111,2.6,4.4
104342:23,5.1,4.322222222222222,3.8,6.3
104694:41,4,6,2.6,5.4
105043:10,2.8,5.511111111111112,1.5,4.3
105338:42,4.3,3.1222222222222227,3.2,5.3
105485:20,4.6,3.822222222222222,3.5,5.8
105896:51,3,2.2222222222222223,2.2,3.9
106267:29,4.5,3.388888888888889,3.3,5.5
106391:27,2.8,2.8444444444444446,1.9,3.8
106437:19,3.5,5.166666666666667,2.2,4.8
106565:53,4.9,2.766666666666667,3.9,5.8
106619:25,2.8,2.622222222222222,1.8,3.8
106658:65,3,2.888888888888889,2.1,4
106691:93,4.6,5.155555555555556,3.3,5.9
107258:36,4.4,2.2666666666666666,3.5,5.4
107469:25,4.9,2.1000000000000005,4.1,5.7
107709:28,5.7,0.8999999999999999,5.1,6.2
107796:20,4.4,3.1555555555555554,3.2,5.4
107802:43,4,4.888888888888889,2.6,5.2
107909:42,4.7,2.677777777777778,3.7,5.6
108182:30,3.6,4.933333333333334,2.3,5
108182:40,4,4.444444444444445,2.8,5.202499999999998
108349:80,4.2,3.2888888888888883,3.2,5.2
10841:72,3.5,4.944444444444445,2.3,4.8
108521:93,5.8,1.511111111111111,5.1,6.5
108737:78,4.4,5.822222222222223,3,5.8024999999999975
108744:71,3.9,3.877777777777778,2.7,5
108757:10,5.4,2.488888888888889,4.4,6.3
108790:33,1.9,2.988888888888889,1,3
108790:55,4.7,1.5666666666666667,4,5.4
108807:56,5.5,1.8333333333333333,4.7,6.3
108856:37,4.2,2.1777777777777776,3.3,5
108856:73,2.4,5.6,1,3.9
10895:45,4.2,1.5111111111111108,3.5,4.9
108972:69,3.1,2.988888888888889,2.1975000000000002,4.1
108975:9,4.25,4.197368421052632,3.35,5.1
109040:25,3.7,3.5666666666666678,2.6,4.8
109067:18,2.5,3.388888888888889,1.6,3.8
109067:39,3.2,4.177777777777779,2,4.3024999999999975
109067:60,3.1,2.5444444444444447,2.2975000000000003,4.002499999999998
109255:17,5.3,2.677777777777778,4.3,6.1
109269:7,5.8,2.4000000000000004,4.8,6.6
109394:16,5.8,1.288888888888889,5.1,6.402499999999998
109644:34,4.6,4.933333333333334,3.2,5.8
109712:50,4.3,3.3444444444444446,3.2,5.3
110359:35,4.4,3.1555555555555554,3.4,5.4
110384:95,3.7,3.1222222222222222,2.6,4.7
110398:27,3.3,5.122222222222223,2.1,4.7
110628:20,4.4,4.488888888888889,3,5.6
11082:15,1.5,0.5,1.1,1.9
111407:85,4.1,2.988888888888889,3.1,5.1
111758:13,4.2,2.6222222222222222,3.3,5.1
112058:22,5.6,2.2666666666666666,4.6,6.4
112156:136,4.9,3.8777777777777778,3.6975000000000002,6
112290:7,5.7,1.1222222222222222,5.1,6.3
11233:53,3,3.3333333333333335,1.9975,4.2
112498:14,3.5,3.8333333333333335,2.4,4.7
112637:73,2.4,1.1555555555555557,1.8,3
112844:32,3.3,2.677777777777778,2.4,4.3
112989:20,4.9,2.7666666666666675,3.8,5.8
113277:12,3.9,3.433333333333333,2.8,5
11328:16,2.9,3.8777777777777778,1.8,4.1
113457:49,2.5,4.5,1.4,3.8
113475:14,4.4,2.711111111111111,3.4975,5.4
11353:13,2.9,2.1,2,3.7
113793:23,3.9,3.8777777777777778,2.8,5
113850:63,4.1,3.2111111111111117,3,5.1
113855:35,5,3.5555555555555554,3.8,6
113957:66,4.1,2.1000000000000005,3.2,4.9
114202:81,5.6,2.0444444444444443,4.6975,6.3
114255:29,3.4,6.933333333333334,1.9,5
114588:104,4.2,3.511111111111111,3,5.3
114610:10,2.6,2.488888888888889,1.7,3.6
115343:46,5.7,2.677777777777778,4.6975,6.5
115483:40,5.7,1.3444444444444443,4.9,6.4
115490:21,4.3,3.7888888888888896,3.1,5.4
115525:57,3.8,3.066666666666666,2.7,4.8
11568:18,2.6,2.488888888888889,1.7,3.5
115742:25,5.5,1.6111111111111112,4.7975,6.202499999999998
115916:39,3.6,4.933333333333333,2.3,5
116197:36,3.8,3.0666666666666664,2.8,4.9
116252:35,4.3,3.1222222222222227,3.2,5.3
116495:21,4,4.222222222222222,2.8,5.2
116582:15,2.3,2.9,1.4,3.4
116717:11,4.9,5.433333333333334,3.5,6.2
116940:96,3.5,3.8333333333333335,2.4,4.6
117330:23,4.3,4.455555555555555,3,5.6
117354:63,5.3,2.455555555555556,4.3975,6.2
11767:21,2.7,2.9000000000000004,1.8,3.8
1177:17,5.7,1.788888888888889,4.9,6.4
117808:33,3.8,4.844444444444444,2.5,5
117836:27,2.8,1.5111111111111113,2.1,3.6
118309:83,3.3,3.3444444444444446,2.3,4.4
118734:78,5.5,4.055555555555555,4.1975,6.5
118753:13,3.9,3.433333333333333,2.9,5
118769:33,4.8,3.7333333333333334,3.7,5.9
118955:17,4.4,4.2666666666666675,3.1,5.6
119111:78,3.4,3.1555555555555554,2.4,4.4
119144:63,4.1,4.1,2.9,5.3
11929:60,4.4,2.2666666666666666,3.4,5.2
119842:10,2.6,4.711111111111112,1.5,4
11991:7,5.2,1.5111111111111108,4.5,5.9
11992:7,6.3,1.1222222222222222,5.7,6.9
119945:93,1.7,1.1222222222222222,1.1,2.4
120178:18,2.2,2.8444444444444446,1.3,3.2
120254:15,5.4,1.3777777777777775,4.6,6
120455:20,4.3,1.5666666666666667,3.5,5
120455:28,3.5,2.9444444444444446,2.5,4.5
120456:22,2.3,2.455555555555555,1.4,3.2
120517:9,5,2.6666666666666665,4,5.9
1206:10,4.2,4.177777777777778,3,5.4
120747:13,2.1,2.322222222222222,1.4,3.1
120873:46,2.3,0.8999999999999999,1.7,2.9
120922:61,4.1,4.322222222222223,2.8,5.3
121023:37,4.2,5.066666666666666,2.8,5.5
12111:78,3.5,3.1666666666666665,2.5,4.5
121141:6,6.2,1.5111111111111113,5.5,6.9
1214:19,4.5,4.055555555555555,3.2,5.7
121569:26,4.3,5.344444444444445,2.7975000000000003,5.6
121757:115,3.8,2.6222222222222227,2.9,4.702499999999998
121757:134,4.1,5.211111111111111,2.8,5.4
121757:169,4.7,5.122222222222223,3.3,5.9
121757:84,3.3,4.011111111111111,2.2,4.602499999999997
121775:13,3,3.5555555555555554,1.9975,4
121775:50,3.4,3.822222222222223,2.2975000000000003,4.5
121783:13,2.9,3.6555555555555563,1.8,4.1
121793:107,3.2,4.177777777777777,2,4.5
121793:56,3.2,3.9555555555555557,2.1,4.5
12194:43,3.6,1.3777777777777775,2.9,4.3
121941:10,3.2,3.288888888888889,2.1,4.3024999999999975
122421:31,4.3,4.233333333333333,3.1,5.502499999999998
122706:39,4,4,2.7,5.1
122792:22,2.4,2.2666666666666666,1.5975000000000001,3.3
122893:11,2.8,4.622222222222223,1.6,4.1
123034:17,5.4,1.822222222222222,4.6,6.2
123419:8,2.9,2.3222222222222224,2,3.8
123714:38,3.8,4.622222222222224,2.5,5.2
123797:41,4,5.333333333333333,2.7,5.5
123812:31,3.9,5.433333333333334,2.5,5.2
123916:50,3.7,3.1222222222222222,2.6,4.8
124385:34,5.2,2.1777777777777776,4.3,6
124500:45,4.2,3.7333333333333334,3,5.4
124653:71,5.3,1.5666666666666667,4.6,6.1
124760:28,4.5,3.8333333333333335,3.4,5.7
124787:54,2.7,3.122222222222222,1.8,3.8
125063:17,3.9,2.5444444444444443,2.9,4.7
125651:10,5.1,5.211111111111111,3.7975000000000003,6.3
125802:14,4.3,4.01111111111111,3.1,5.5
125857:6,5.2,3.511111111111111,4,6.2
125903:18,4.1,6.1,2.5975,5.5
12596:58,3.1,4.322222222222222,2,4.3
