epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.2837607927620411,0.5084200531244278,0.6319912595462454,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
1,0.592795135639608,0.4135283574461937,0.6898655818660939,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
2,0.3741889774799347,0.476595601439476,0.7069458269033259,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
3,0.24553429028019308,0.49456768929958345,0.690431502978494,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
4,0.1686044244095683,0.4975078523159027,0.700189121830702,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
5,0.11921920417807996,0.48282888904213905,0.6948134489323696,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
6,0.09411427043378354,0.49860059916973115,0.6918200380620221,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
7,0.06566088406834751,0.491964228451252,0.6996803166179798,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
8,0.054966313974000515,0.48743423745036124,0.7000775511573432,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
9,0.0426649902947247,0.4834452010691166,0.7006770672037851,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
10,0.0373889640904963,0.47960743457078936,0.7001218228633694,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
11,0.032915601402055475,0.48253934308886526,0.6954075172733573,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
12,0.030097527540056034,0.4763019882142544,0.7003566052982652,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
13,0.02662756889476441,0.48312760666012766,0.7027344835455864,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
14,0.02635087114176713,0.48366456031799315,0.7013366025440817,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
15,0.026177260623080657,0.48155591636896133,0.7043233199788974,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
16,0.02461482697399333,0.480554736405611,0.7055384273289677,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
17,0.023122729489114136,0.47893639132380483,0.7038349928081576,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
18,0.022406588128069414,0.48189977183938026,0.7043784734359054,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
19,0.021302818023832513,0.4781992301344872,0.7064818811415863,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
20,0.02154024038463831,0.4874360963702202,0.708170124922261,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
21,0.022294210895779543,0.4777282729744911,0.7037454113569379,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
22,0.02178335632197559,0.4723930910229683,0.7116580289691188,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
23,0.020866302913054822,0.4800605095922947,0.7063262911465132,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
24,0.019470349670154975,0.47589093670248983,0.7132286011775758,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
25,0.019882964095450005,0.48052677512168884,0.7094501302373509,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
26,0.019647983741015194,0.48203819543123244,0.7109243211114726,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
27,0.019934846117394045,0.470868656039238,0.7079760954640475,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
28,0.018540774134453385,0.47922683507204056,0.7115030162069568,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
29,0.019084822805598377,0.48301175609230995,0.7128630288215632,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
30,0.01730195772834122,0.47542169094085696,0.7115764669460459,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
31,0.017982323103933596,0.4720981724560261,0.7115681692139054,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
32,0.017051051155431197,0.47201311513781546,0.7125380903166771,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
33,0.017028932814719157,0.4745475560426712,0.7154871253350781,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
34,0.017806446537724695,0.47812880799174307,0.7163340238588141,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
35,0.01637984800618142,0.4884743273258209,0.7110900622294607,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
36,0.016590035878471097,0.47628851383924486,0.7123345666872383,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
37,0.016269503750663716,0.4839148513972759,0.7158993275213422,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
38,0.015822924970416354,0.480457054823637,0.7140498218364423,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
39,0.016475570254260673,0.4779626913368702,0.7180289649306274,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
40,0.01656614019302651,0.4802253730595112,0.7099569551043874,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
41,0.017275363043881952,0.47743223085999487,0.7171002662436451,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
42,0.017780070516164415,0.4762760564684868,0.7186188742013305,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
43,0.01657602386258077,0.4810169875621796,0.715766031590536,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
44,0.015254590607946738,0.4757754996418953,0.7122232408958457,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
45,0.015129909201641567,0.47004705369472505,0.7163043446305492,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
46,0.015677708892326336,0.4782244384288788,0.71599950000078,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
47,0.014663231367012485,0.4834886223077774,0.718294598188872,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
48,0.014229760260786862,0.4720853164792061,0.7165786319094307,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
49,0.014005507747060619,0.47701251432299613,0.7154468252546686,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
50,0.013826233410509304,0.4729738377034664,0.7163929680897133,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
51,0.014003664751362522,0.48109381198883056,0.7192887740009553,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
52,0.014329178330081049,0.49063086956739427,0.7188694250153889,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
53,0.013940467484644614,0.47819565907120704,0.7214511347190093,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
54,0.013696700344735292,0.4775430455803871,0.7188321137058298,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
55,0.013815846800571307,0.4852487325668335,0.7197985871961782,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
56,0.013235598540632054,0.48163938224315644,0.7173766629001161,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
57,0.013012187850836198,0.4821564815938473,0.7158595382910256,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
58,0.01348987499368377,0.4758510574698448,0.7173010471132526,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
59,0.013464071636553854,0.47736904919147494,0.720869486753008,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
60,0.013470334513112903,0.4819786012172699,0.719160011872326,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
61,0.013648780967923813,0.47366259470582006,0.7250610464502354,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
62,0.01291969263984356,0.4752119228243828,0.717582067258255,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
63,0.012877988963737153,0.48880566731095315,0.720313641428303,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
64,0.012982332265528385,0.48529110923409463,0.7208319930235385,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
65,0.012518712117162068,0.4846698805689812,0.7209230298295973,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
66,0.012329079402843491,0.47394981384277346,0.7175319361010786,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
67,0.01196335385175189,0.4834443710744381,0.72099886950438,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
68,0.012735519424313679,0.4800394684076309,0.7199367412303986,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
69,0.012536187068326399,0.474682155251503,0.7185310440853937,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
70,0.012697154287889135,0.46469101756811143,0.7189662837361775,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
71,0.012493246076337528,0.47376182302832603,0.720986698362276,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
72,0.012363350164378062,0.4766239568591118,0.7205567548023317,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
73,0.012319973009289243,0.48099067583680155,0.7215553583305654,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
74,0.012127047097601462,0.4682417459785938,0.7216254121960888,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
75,0.011854927320382559,0.4695645168423653,0.7208178846336297,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
76,0.011228997650323435,0.47953721284866335,0.7203173068119153,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
77,0.011573577277886216,0.4749334029853344,0.7236935055439677,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
78,0.012163312280608806,0.4831077069044113,0.7216138395046667,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
79,0.01218058048543753,0.4799290142953396,0.7194323410685107,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
80,0.011720160390541422,0.4765038497745991,0.7220009387847336,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
81,0.0119531689590076,0.47309894636273386,0.7204774643248075,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
82,0.011356970045017078,0.4780679851770401,0.7247162293392215,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
83,0.01132562851998955,0.4821348026394844,0.7215408770417902,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
84,0.011895234951225575,0.4787341430783272,0.7214030013616788,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
85,0.011440185991523322,0.47115220353007314,0.7210034048615013,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
86,0.01121508625219576,0.48101530149579047,0.7208605712649123,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
87,0.011649566023697844,0.47177115082740784,0.722252229478847,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
88,0.011636053053371143,0.4731685146689415,0.7210201331080917,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
89,0.011476507433690131,0.48208547085523606,0.7248774138446062,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
90,0.011358398021548055,0.48841374963521955,0.7214632239284258,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
91,0.01106512629048666,0.4782256528735161,0.7239918122602352,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
92,0.010825026874954347,0.4829442068934441,0.7204336354612614,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
93,0.010979733342537656,0.4793990544974804,0.7237002661598073,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
94,0.010659961710916831,0.47309529185295107,0.7212010894301625,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
95,0.010312278819037601,0.4823052667081356,0.7229096792027176,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
96,0.010598344926256687,0.47834683656692506,0.720027346504855,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
97,0.010408979331259616,0.46699497699737547,0.7212534009383915,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
98,0.010450044299068395,0.48161913827061653,0.722617289192213,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
99,0.010447644081432372,0.4851232871413231,0.7211441081046311,bert_large_lstm,False,True,800,0.3,2,-1,11,True,bert_large
