Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': True,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'bert_large_lstm',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'bert_large_lstm',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': True,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': False,
          'BIDIRECTION': True,
          'DROP_PROB': 0.3,
          'FLAG': True,
          'HIDDEN_DIM': 800,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard21/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 100,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/bert_largelayer_11_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.4003; total val loss: 0.4584 val r: 0.6929; time: 0.99sec
[2/800][24/24] total train loss: 0.6166; total val loss: 0.4071 val r: 0.7092; time: 0.95sec
[3/800][24/24] total train loss: 0.3830; total val loss: 0.5064 val r: 0.7330; time: 0.94sec
[4/800][24/24] total train loss: 0.2574; total val loss: 0.4632 val r: 0.7198; time: 0.94sec
[5/800][24/24] total train loss: 0.1663; total val loss: 0.5179 val r: 0.7164; time: 0.94sec
[6/800][24/24] total train loss: 0.1148; total val loss: 0.5008 val r: 0.7046; time: 0.95sec
[7/800][24/24] total train loss: 0.1039; total val loss: 0.4785 val r: 0.6984; time: 0.94sec
[8/800][24/24] total train loss: 0.0686; total val loss: 0.4788 val r: 0.7070; time: 0.95sec
[9/800][24/24] total train loss: 0.0677; total val loss: 0.4940 val r: 0.7169; time: 0.95sec
[10/800][24/24] total train loss: 0.0442; total val loss: 0.5007 val r: 0.7188; time: 0.95sec
[11/800][24/24] total train loss: 0.0356; total val loss: 0.5033 val r: 0.7067; time: 0.96sec
[12/800][24/24] total train loss: 0.0321; total val loss: 0.4856 val r: 0.6971; time: 0.94sec
[13/800][24/24] total train loss: 0.0303; total val loss: 0.4620 val r: 0.6970; time: 0.95sec
[14/800][24/24] total train loss: 0.0245; total val loss: 0.4921 val r: 0.7005; time: 0.95sec
[15/800][24/24] total train loss: 0.0276; total val loss: 0.4893 val r: 0.7038; time: 0.95sec
[16/800][24/24] total train loss: 0.0333; total val loss: 0.4862 val r: 0.7013; time: 0.95sec
[17/800][24/24] total train loss: 0.0278; total val loss: 0.4886 val r: 0.7058; time: 0.95sec
[18/800][24/24] total train loss: 0.0232; total val loss: 0.4898 val r: 0.7128; time: 0.94sec
