epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.1291834104806184,0.41517768502235414,0.6671684011164061,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
1,0.5126994401216507,0.48631377071142196,0.7581952114607087,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
2,0.3409305431880057,0.46289521008729934,0.7793313085809426,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
3,0.23252401635982095,0.5117231860756875,0.7773332484171656,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
4,0.15582798719406127,0.5099670454859734,0.7708748618866748,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
5,0.10123938997276127,0.5143551766872406,0.775382703991936,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
6,0.07260689805261791,0.5192391946911812,0.7754377631428481,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
7,0.05236689932644367,0.503116337954998,0.7698474782183309,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
8,0.041695930832065645,0.4949784383177757,0.7723243132197232,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
9,0.035056204337161036,0.5001510381698608,0.7749463441991036,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
10,0.02832450784626417,0.48474857956171036,0.7750858314084994,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
11,0.02678702230914496,0.5091112658381463,0.7753517745913014,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
12,0.023725811278563925,0.5085245162248612,0.7774556448818546,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
13,0.02154617100022733,0.5038755722343922,0.7768045591168172,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
14,0.020587741327472032,0.48826446756720543,0.7765502890909577,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
15,0.02494554997247178,0.5028374694287777,0.7812010021978752,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
16,0.023713481466984376,0.4937049880623817,0.7775204533485234,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
17,0.020217021490680054,0.5026980206370354,0.7761253865809397,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
18,0.019269716250710188,0.49325651824474337,0.7797749387978694,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
19,0.01734599605842959,0.49659057706594467,0.7761708067388353,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
20,0.017553722274897154,0.5106500700116158,0.7821749339705973,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
21,0.01829182460496668,0.49575231969356537,0.7803946105995607,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
22,0.017005943760159424,0.5081809788942337,0.779111596662892,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
23,0.016856493437080643,0.493339654058218,0.7811820202978528,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
24,0.015718294229009187,0.5068273440003395,0.7817309051493939,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
25,0.015330595933482983,0.4984748736023903,0.7803150565236091,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
26,0.01607953641505446,0.5004169940948486,0.7809069468329064,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
27,0.016233901371015234,0.4946313865482807,0.7809637238545557,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
28,0.01584215244220104,0.5038891196250915,0.7788279528142201,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
29,0.015327713565784506,0.5047796115279197,0.7843057928859332,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
30,0.015092726300645154,0.5022626794874668,0.7829137123920622,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
31,0.014575666928431019,0.4974732637405396,0.7816325195408121,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
32,0.014503448696632403,0.5069844573736191,0.7821425957321791,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
33,0.014438523854187224,0.5084879904985428,0.7822154174665178,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
34,0.014418165036477148,0.507073600590229,0.7813258611664566,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
35,0.015604306940804235,0.503342867642641,0.7831759822553395,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
36,0.015982327298843302,0.5025818042457104,0.7801520366951085,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
37,0.01497802056837827,0.48687190786004064,0.7836509152052556,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
38,0.015224311136989854,0.4921587310731411,0.7839721323574802,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
39,0.014858126202307175,0.5060752362012864,0.785061905288424,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
40,0.014776895692921243,0.4976447969675064,0.7818063667679939,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
41,0.014418779846164399,0.5022766679525376,0.7840263660116993,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
42,0.01431777816324029,0.503829350322485,0.7830383964476371,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
43,0.014272802020423114,0.5030851043760777,0.7836670477710562,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
44,0.013307967652508523,0.5110287562012672,0.7850710428775042,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
45,0.014128370687831193,0.49340936318039896,0.7803081569752135,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
46,0.014344747355789878,0.490427977591753,0.7828881511715,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
47,0.0135880708694458,0.48582146465778353,0.7857630070766767,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
48,0.012876172320102342,0.4961771681904793,0.7833531735066048,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
49,0.01280357703071786,0.5103341519832612,0.7851685541019203,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
50,0.012951217313820962,0.49316797107458116,0.7843916665133214,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
51,0.013145764041109943,0.4852723814547062,0.7839104247380506,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
52,0.01391834612149978,0.5041533216834069,0.7826298544849933,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
53,0.013133825121622067,0.4954805687069893,0.7851516735185238,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
54,0.013266998183098622,0.5026623837649822,0.7839673024071783,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
55,0.01311710366862826,0.505981333553791,0.7848888293692953,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
56,0.013631953154981603,0.4963386535644531,0.7853675789801974,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
57,0.01298579394351691,0.4966948673129082,0.7846732235876275,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
58,0.012710013645119034,0.5049441576004028,0.7848570071943166,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
59,0.012333889928413555,0.5015482991933823,0.785408605217962,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
60,0.012399097807065117,0.49238173440098765,0.784469687533012,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
61,0.012770182466192636,0.5016334861516952,0.7844024853517332,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
62,0.012682588254392613,0.49062894135713575,0.7853002137067101,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
63,0.012667874510225375,0.4926274925470352,0.7866817942680744,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
64,0.012552364687144291,0.49832122027873993,0.7852273124839102,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
65,0.013495949152274988,0.49367882683873177,0.7862518754733375,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
66,0.013715753206633962,0.49073863625526426,0.7855815544988068,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
67,0.013996988630970009,0.5102086961269379,0.7856565352752702,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
68,0.013962083360820544,0.49181016758084295,0.7838562393254845,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
69,0.0133820765564451,0.5117118373513222,0.78652911060146,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
70,0.012727930482651573,0.5044705778360367,0.7867323819794507,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
71,0.012182167648279573,0.49619040042161944,0.7893077749084486,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
72,0.01161177049507387,0.4933325842022896,0.7849116848602012,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
73,0.011467387284938013,0.49508175775408747,0.7877395757393622,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
74,0.011634080435032956,0.498227134346962,0.7847932939830502,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
75,0.011852763650676935,0.5098055496811866,0.7848236976410179,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
76,0.012626061389164533,0.49226702749729156,0.7864977118500157,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
77,0.012288445202284493,0.4915145501494408,0.7879020103208707,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
78,0.011457884483388626,0.4962278574705124,0.7847650586817082,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
79,0.011564046931744088,0.48961441591382027,0.7857591023492132,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
80,0.01165763298922684,0.49919248521327975,0.7882097140846938,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
81,0.01139869813923724,0.4995552271604538,0.7864050518335354,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
82,0.011196521523379488,0.4855582267045975,0.7859387132428676,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
83,0.011374750643153676,0.4923353187739849,0.7860793316276683,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
84,0.011720751946268138,0.4988879904150963,0.7858894164001311,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
85,0.011482875718502327,0.5028770387172699,0.7879025490856437,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
86,0.01111385981857893,0.4944509521126747,0.786674459846093,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
87,0.01239613217767328,0.5020909920334816,0.7862146555810356,bert_large_lstm_attn,True,True,800,0.1,2,-1,18,True,bert_large
