Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': True,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'bert_large_lstm_attn',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'bert_large_lstm_attn',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': True,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': True,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 800,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard22/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 100,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/bert_largelayer_11_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.2983; total val loss: 0.3322 val r: 0.6762; time: 0.99sec
[2/800][24/24] total train loss: 0.6716; total val loss: 0.3892 val r: 0.7579; time: 0.94sec
[3/800][24/24] total train loss: 0.4472; total val loss: 0.5277 val r: 0.7659; time: 0.94sec
[4/800][24/24] total train loss: 0.3361; total val loss: 0.4495 val r: 0.7534; time: 0.93sec
[5/800][24/24] total train loss: 0.2386; total val loss: 0.5325 val r: 0.7513; time: 0.94sec
[6/800][24/24] total train loss: 0.1607; total val loss: 0.5129 val r: 0.7227; time: 0.93sec
[7/800][24/24] total train loss: 0.1004; total val loss: 0.5046 val r: 0.7303; time: 0.93sec
[8/800][24/24] total train loss: 0.0693; total val loss: 0.4812 val r: 0.7227; time: 0.94sec
[9/800][24/24] total train loss: 0.0549; total val loss: 0.4918 val r: 0.7208; time: 0.94sec
[10/800][24/24] total train loss: 0.0491; total val loss: 0.5093 val r: 0.7327; time: 0.94sec
[11/800][24/24] total train loss: 0.0400; total val loss: 0.4631 val r: 0.7292; time: 0.94sec
[12/800][24/24] total train loss: 0.0304; total val loss: 0.4965 val r: 0.7419; time: 0.95sec
[13/800][24/24] total train loss: 0.0257; total val loss: 0.5056 val r: 0.7260; time: 0.95sec
[14/800][24/24] total train loss: 0.0235; total val loss: 0.4943 val r: 0.7273; time: 0.94sec
[15/800][24/24] total train loss: 0.0247; total val loss: 0.4917 val r: 0.7311; time: 0.93sec
[16/800][24/24] total train loss: 0.0382; total val loss: 0.5264 val r: 0.7375; time: 0.95sec
[17/800][24/24] total train loss: 0.0297; total val loss: 0.5360 val r: 0.7331; time: 0.94sec
[18/800][24/24] total train loss: 0.0214; total val loss: 0.5159 val r: 0.7362; time: 0.94sec
[19/800][24/24] total train loss: 0.0226; total val loss: 0.4834 val r: 0.7367; time: 0.95sec
