epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,0.9899161189794541,0.45553463995456694,0.7031999377868986,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
1,0.4865703569725156,0.4456163339316845,0.7564774531669787,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
2,0.32056441018357873,0.4767342820763588,0.7615467998134419,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
3,0.22065271474421025,0.4847505673766136,0.7660434862977246,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
4,0.13532002680003644,0.5137420944869519,0.7584044348743073,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
5,0.09203613782301545,0.5055648744106293,0.7686372603552941,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
6,0.06595103847794234,0.5055531486868858,0.7666820673120402,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
7,0.05268024302786216,0.49659368991851804,0.7639018696545292,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
8,0.04127881777239963,0.4872164063155651,0.7613223386127004,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
9,0.03560920897289179,0.5027349188923835,0.7672544889746886,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
10,0.03164113338571042,0.4962500065565109,0.7684153141263612,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
11,0.02890591401956044,0.5035710737109185,0.7636306883560818,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
12,0.02347429336514324,0.4817544423043728,0.7667157343463549,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
13,0.021590742567786946,0.4948491260409355,0.7676643146712611,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
14,0.021446368165197783,0.4885100029408932,0.7691833491977602,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
15,0.020426383274025284,0.4965947397053242,0.7658216422117523,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
16,0.021154590207152067,0.49952229112386703,0.7694050981098347,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
17,0.019952483932138422,0.493211617320776,0.7666852697608457,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
18,0.018954785433015785,0.4907579325139523,0.7702565037162573,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
19,0.018619369887164793,0.5012353166937829,0.7710845431521925,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
20,0.01806196651305072,0.4913811758160591,0.7684573974654871,bert_large_lstm_attn_context,True,True,800,0.1,2,-1,18,True,bert_large
