Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': True,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'bert_large_lstm_context',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'bert_large_lstm_context',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': True,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': False,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 800,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard21/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': False,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 10,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0_contextual/bert_largelayer_11_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.3313; total val loss: 0.4511 val r: 0.7001; time: 1.28sec
[2/800][24/24] total train loss: 0.6407; total val loss: 0.3857 val r: 0.6926; time: 0.94sec
[3/800][24/24] total train loss: 0.3714; total val loss: 0.4869 val r: 0.7189; time: 0.94sec
[4/800][24/24] total train loss: 0.2541; total val loss: 0.4800 val r: 0.6868; time: 0.93sec
[5/800][24/24] total train loss: 0.1433; total val loss: 0.5030 val r: 0.7170; time: 0.94sec
[6/800][24/24] total train loss: 0.0892; total val loss: 0.4687 val r: 0.6961; time: 0.94sec
[7/800][24/24] total train loss: 0.0601; total val loss: 0.4712 val r: 0.6975; time: 0.94sec
[8/800][24/24] total train loss: 0.0531; total val loss: 0.4637 val r: 0.6847; time: 0.94sec
[9/800][24/24] total train loss: 0.0443; total val loss: 0.4750 val r: 0.7061; time: 0.95sec
[10/800][24/24] total train loss: 0.0375; total val loss: 0.5073 val r: 0.7165; time: 0.94sec
[11/800][24/24] total train loss: 0.0347; total val loss: 0.5030 val r: 0.7032; time: 0.95sec
[12/800][24/24] total train loss: 0.0275; total val loss: 0.4941 val r: 0.7064; time: 0.95sec
[13/800][24/24] total train loss: 0.0237; total val loss: 0.4817 val r: 0.7089; time: 0.95sec
[14/800][24/24] total train loss: 0.0226; total val loss: 0.5019 val r: 0.7071; time: 0.94sec
[15/800][24/24] total train loss: 0.0243; total val loss: 0.5143 val r: 0.7181; time: 0.95sec
[16/800][24/24] total train loss: 0.0237; total val loss: 0.4980 val r: 0.7144; time: 0.94sec
[17/800][24/24] total train loss: 0.0232; total val loss: 0.4842 val r: 0.7117; time: 0.95sec
[18/800][24/24] total train loss: 0.0212; total val loss: 0.4866 val r: 0.7129; time: 0.94sec
[19/800][24/24] total train loss: 0.0205; total val loss: 0.5105 val r: 0.7145; time: 0.95sec
