epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.1597052350640298,0.40054168477654456,0.5966081070791416,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
1,0.6178124494850635,0.4461755767464638,0.6511336925604365,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
2,0.43604878364130856,0.45553700625896454,0.682042235649801,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
3,0.2767686521634459,0.4645246766507626,0.672505577326822,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
4,0.19210738139227032,0.4584591634571552,0.6727503413977292,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
5,0.13020378090441226,0.4833486095070839,0.6803547350902414,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
6,0.10133450666908175,0.49451920092105867,0.6797776565608049,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
7,0.07174779819324613,0.47625374272465704,0.6685830510034183,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
8,0.05716842386173084,0.4731847241520882,0.6835162590868691,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
9,0.04637240642914549,0.469828762114048,0.6807306154913781,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
10,0.04208415349712595,0.4783589094877243,0.6817166253766583,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
11,0.03886169561883435,0.48343895077705384,0.6876265076343099,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
12,0.035677120450418445,0.4821043238043785,0.6853105129098737,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
13,0.03250352073227987,0.48425811976194383,0.6839294005233137,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
14,0.03143337688525207,0.48609199225902555,0.6809952394255995,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
15,0.03056632982334122,0.4813975773751736,0.6883598663865304,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
16,0.02944567200029269,0.4670464232563972,0.6842480599844969,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
17,0.027237594965845345,0.4807002663612366,0.6872919929923041,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
18,0.02488520173355937,0.47627483010292054,0.6872242711877492,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
19,0.022461442108033226,0.4729663997888565,0.6885586102884937,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
20,0.022497595730237664,0.4798989698290825,0.6916607962205576,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
21,0.023249777613091282,0.48152138069272044,0.6887382893350188,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
22,0.022220802563242614,0.4836451843380928,0.687360842377491,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
23,0.021429244545288384,0.47306409999728205,0.6875031549126961,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
24,0.021515802742214873,0.46133122518658637,0.6853400720205934,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
25,0.021420060997479597,0.4748222455382347,0.6881942811199296,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
26,0.020239918073639274,0.46769570335745814,0.6866715591065612,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
27,0.02120970720425248,0.47665637731552124,0.6924769503507544,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
28,0.0206871623871848,0.48667175471782687,0.6924017260134162,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
29,0.01982922867173329,0.48327044397592545,0.6911215520042067,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
30,0.019620929940720087,0.473519379645586,0.6897470239282718,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
31,0.020031213480979203,0.47663698345422745,0.6946369835619453,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
32,0.019712290618917903,0.4848752275109291,0.6937665469084313,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
33,0.019221180176828057,0.4724739886820316,0.6902469278753548,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
34,0.01944432712625712,0.48028419613838197,0.6920260038633103,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
35,0.017775705392705277,0.46765266805887223,0.6917939073203259,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
36,0.01732397619925905,0.47898494750261306,0.6941403477879129,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
37,0.01717072844330687,0.4699611753225327,0.6912158900486088,bert_lstm,False,True,800,0.3,2,-1,11,False,bert
