Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'bert_lstm',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'bert_lstm',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': True,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': False,
          'BIDIRECTION': True,
          'DROP_PROB': 0.3,
          'FLAG': True,
          'HIDDEN_DIM': 800,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard21/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 100,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/bert_layer_11_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.1758; total val loss: 0.3469 val r: 0.5542; time: 0.97sec
[2/800][24/24] total train loss: 0.5853; total val loss: 0.4170 val r: 0.6614; time: 0.92sec
[3/800][24/24] total train loss: 0.3887; total val loss: 0.4605 val r: 0.6989; time: 0.92sec
[4/800][24/24] total train loss: 0.2419; total val loss: 0.4237 val r: 0.7036; time: 0.91sec
[5/800][24/24] total train loss: 0.1979; total val loss: 0.4893 val r: 0.6971; time: 0.92sec
[6/800][24/24] total train loss: 0.1263; total val loss: 0.5188 val r: 0.7272; time: 0.91sec
[7/800][24/24] total train loss: 0.1083; total val loss: 0.5113 val r: 0.7137; time: 0.92sec
[8/800][24/24] total train loss: 0.0666; total val loss: 0.4884 val r: 0.7085; time: 0.92sec
[9/800][24/24] total train loss: 0.0591; total val loss: 0.4774 val r: 0.6961; time: 0.92sec
[10/800][24/24] total train loss: 0.0457; total val loss: 0.4865 val r: 0.7067; time: 0.92sec
[11/800][24/24] total train loss: 0.0470; total val loss: 0.5091 val r: 0.7106; time: 0.92sec
[12/800][24/24] total train loss: 0.0438; total val loss: 0.5133 val r: 0.7089; time: 0.92sec
[13/800][24/24] total train loss: 0.0366; total val loss: 0.4744 val r: 0.7081; time: 0.92sec
[14/800][24/24] total train loss: 0.0318; total val loss: 0.4721 val r: 0.6933; time: 0.92sec
[15/800][24/24] total train loss: 0.0319; total val loss: 0.4796 val r: 0.6915; time: 0.92sec
[16/800][24/24] total train loss: 0.0346; total val loss: 0.5037 val r: 0.7139; time: 0.92sec
[17/800][24/24] total train loss: 0.0307; total val loss: 0.4696 val r: 0.6954; time: 0.92sec
[18/800][24/24] total train loss: 0.0284; total val loss: 0.4930 val r: 0.7058; time: 0.92sec
[19/800][24/24] total train loss: 0.0268; total val loss: 0.4893 val r: 0.6992; time: 0.92sec
[20/800][24/24] total train loss: 0.0239; total val loss: 0.4756 val r: 0.7087; time: 0.92sec
[21/800][24/24] total train loss: 0.0253; total val loss: 0.4952 val r: 0.7123; time: 0.93sec
[22/800][24/24] total train loss: 0.0266; total val loss: 0.4837 val r: 0.7040; time: 0.92sec
[23/800][24/24] total train loss: 0.0218; total val loss: 0.4880 val r: 0.7074; time: 0.92sec
[24/800][24/24] total train loss: 0.0216; total val loss: 0.4857 val r: 0.7089; time: 0.91sec
[25/800][24/24] total train loss: 0.0198; total val loss: 0.4633 val r: 0.7138; time: 0.92sec
[26/800][24/24] total train loss: 0.0210; total val loss: 0.4786 val r: 0.7013; time: 0.91sec
[27/800][24/24] total train loss: 0.0191; total val loss: 0.4547 val r: 0.7083; time: 0.93sec
[28/800][24/24] total train loss: 0.0203; total val loss: 0.4623 val r: 0.7080; time: 0.91sec
[29/800][24/24] total train loss: 0.0192; total val loss: 0.4926 val r: 0.7074; time: 0.92sec
[30/800][24/24] total train loss: 0.0207; total val loss: 0.5059 val r: 0.7099; time: 0.92sec
[31/800][24/24] total train loss: 0.0201; total val loss: 0.4852 val r: 0.7040; time: 0.92sec
[32/800][24/24] total train loss: 0.0182; total val loss: 0.4787 val r: 0.7178; time: 0.92sec
