epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.0905094411224128,0.4303365878760815,0.6153573015568414,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
1,0.6037154601886868,0.4500021547079086,0.712899378094335,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
2,0.4194806138053536,0.4899186946451664,0.732968760368495,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
3,0.29987716777250173,0.47255395725369453,0.7360545109492725,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
4,0.2099225828424096,0.5062126591801643,0.7329010671383775,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
5,0.1443023334722966,0.5249267935752868,0.7338770034831945,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
6,0.10851699900813401,0.4871748760342598,0.7396212287906548,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
7,0.084934974135831,0.4957460343837738,0.7322746719117403,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
8,0.06632481991546228,0.5021696984767914,0.7349404311020461,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
9,0.04970923216314986,0.4874443575739861,0.7411998261511009,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
10,0.040818681626114996,0.48889429196715356,0.7357383926340201,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
11,0.037693169980775564,0.496444009244442,0.7374168088047972,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
12,0.03132176295039244,0.501016090810299,0.741339398615628,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
13,0.026929313677828758,0.5049992270767689,0.7397184693038296,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
14,0.02398855941137299,0.5019692473113537,0.7441675957097516,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
15,0.021616450339206495,0.4903313711285591,0.741190511557599,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
16,0.019524077608366497,0.5008955873548985,0.743519097754892,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
17,0.018760063307126984,0.48853866159915926,0.7428087677429204,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
18,0.019193358949269167,0.4923454217612743,0.7444105536303997,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
19,0.01885889216209762,0.4934642754495144,0.7378897869913055,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
20,0.020264876310830005,0.49626214653253553,0.7455215735362464,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
21,0.022029337438289075,0.49573469907045364,0.7490174348310814,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
22,0.01982675659819506,0.49593413025140765,0.747287588020055,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
23,0.018788815202424303,0.5023211792111397,0.74672400241127,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
24,0.01756250456382986,0.4971090734004974,0.7459993078319581,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
25,0.0177509337750962,0.49906912446022034,0.7493817343935363,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
26,0.017817587865283712,0.49003145694732664,0.749578343119544,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
27,0.017602439931943083,0.49618302658200264,0.7455540611539121,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
28,0.0169913970050402,0.4923512451350689,0.7500233655277182,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
29,0.016478280030423776,0.49503183364868164,0.7494080263559008,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
30,0.01666214268771,0.48640878945589067,0.750326527519537,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
31,0.01687220665917266,0.49860259145498276,0.7513043099058392,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
32,0.016227132538915612,0.49600578397512435,0.7473157781421416,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
33,0.01650030406017322,0.49450480863451957,0.7473412564651318,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
34,0.016157729270344135,0.4934409290552139,0.7469805839465521,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
35,0.016484877074253744,0.49127335473895073,0.7479924467817908,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
36,0.01571998422732577,0.48491270542144777,0.7482192161239241,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
37,0.015348368239938282,0.48742631673812864,0.7515164332108573,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
38,0.014514459617203102,0.49527954682707787,0.751038946465733,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
39,0.01501967462390894,0.4840362973511219,0.7505541537075165,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
40,0.015468676626915112,0.4942377611994743,0.7490606348478266,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
41,0.01503010440210346,0.4936221122741699,0.7509405993734922,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
42,0.015171894335071556,0.49654457420110704,0.7508345834326262,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
43,0.01468341663130559,0.49474121257662773,0.7528295877025407,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
44,0.014823987855925225,0.47977416068315504,0.7503735091963881,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
45,0.014505860055214726,0.48294996544718743,0.7520895756602777,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
46,0.014292760513490066,0.4947388403117657,0.7533735060435509,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
47,0.013576362814637833,0.48999402821064,0.750990734390536,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
48,0.013727799576008693,0.49130485877394675,0.7511852607583102,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
49,0.013812336504634004,0.4897809274494648,0.7532506627004187,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
50,0.013123572920449078,0.4980117008090019,0.7534744613930225,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
51,0.012894177577982191,0.4882168464362621,0.7506709698725474,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
52,0.013477895049436483,0.4905204355716705,0.7517047849200394,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
53,0.01393617063149577,0.49813205301761626,0.7533255302272528,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
54,0.01416105100652203,0.4954791530966759,0.7557860003156625,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
55,0.014284494920866564,0.4993952974677086,0.7519861766723668,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
56,0.013538948837958743,0.4923149645328522,0.7538136489066508,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
57,0.01296282136318041,0.4931239426136017,0.7552580566262029,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
58,0.012861226881796028,0.48633810207247735,0.7548937543479481,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
59,0.01303346289350884,0.501792685687542,0.7538664047522595,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
60,0.012974165166087914,0.4983525529503822,0.75636146699708,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
61,0.01288472703890875,0.49507525488734244,0.7545354520997047,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
62,0.013413533024140634,0.49155655279755595,0.755453355580453,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
63,0.013705606476287357,0.4835191026329994,0.7521650223413185,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
64,0.01356873644690495,0.4936543181538582,0.7567363418646491,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
65,0.015382177919673268,0.49728560745716094,0.7547124972106074,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
66,0.014766147805494257,0.5014253854751587,0.757028696203009,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
67,0.015296930441400037,0.4903306357562542,0.7538608926900457,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
68,0.01422288142493926,0.4888682492077351,0.7581877939357816,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
69,0.013449528775527141,0.47610296830534937,0.754644473827667,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
70,0.013449999480508268,0.500477547198534,0.7582696577110056,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
71,0.013782666853512638,0.4855207145214081,0.7560234222885749,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
72,0.013053391187713714,0.486307767033577,0.7559105930984258,bert_lstm_attn,True,True,800,0.1,2,-1,11,False,bert
