Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'bert_lstm_attn',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'bert_lstm_attn',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': True,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': True,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 800,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard21/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 100,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/bert_layer_11_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.0932; total val loss: 0.4288 val r: 0.6349; time: 0.96sec
[2/800][24/24] total train loss: 0.5825; total val loss: 0.4978 val r: 0.7062; time: 0.91sec
[3/800][24/24] total train loss: 0.3751; total val loss: 0.5049 val r: 0.7268; time: 0.91sec
[4/800][24/24] total train loss: 0.2851; total val loss: 0.4944 val r: 0.7320; time: 0.90sec
[5/800][24/24] total train loss: 0.2006; total val loss: 0.5377 val r: 0.7399; time: 0.91sec
[6/800][24/24] total train loss: 0.1345; total val loss: 0.5392 val r: 0.7357; time: 0.90sec
[7/800][24/24] total train loss: 0.0931; total val loss: 0.5159 val r: 0.7417; time: 0.91sec
[8/800][24/24] total train loss: 0.0752; total val loss: 0.4705 val r: 0.7474; time: 0.91sec
[9/800][24/24] total train loss: 0.0614; total val loss: 0.4639 val r: 0.7448; time: 0.91sec
[10/800][24/24] total train loss: 0.0431; total val loss: 0.4876 val r: 0.7444; time: 0.91sec
[11/800][24/24] total train loss: 0.0397; total val loss: 0.4945 val r: 0.7547; time: 0.91sec
[12/800][24/24] total train loss: 0.0324; total val loss: 0.5229 val r: 0.7413; time: 0.90sec
[13/800][24/24] total train loss: 0.0305; total val loss: 0.5095 val r: 0.7418; time: 0.90sec
[14/800][24/24] total train loss: 0.0270; total val loss: 0.5006 val r: 0.7507; time: 0.91sec
[15/800][24/24] total train loss: 0.0250; total val loss: 0.4992 val r: 0.7420; time: 0.90sec
[16/800][24/24] total train loss: 0.0237; total val loss: 0.4857 val r: 0.7515; time: 0.90sec
[17/800][24/24] total train loss: 0.0223; total val loss: 0.5051 val r: 0.7577; time: 0.91sec
[18/800][24/24] total train loss: 0.0222; total val loss: 0.4883 val r: 0.7501; time: 0.91sec
