epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.1627815783023834,0.3973616145551205,0.5991660665462359,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
1,0.6306154934689403,0.4521557852625847,0.7102544485978683,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
2,0.43969593979418276,0.484121785312891,0.7337513317770223,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
3,0.32454816326498986,0.50798933878541,0.7431907690681855,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
4,0.2389099475927651,0.5163972958922386,0.743279501019113,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
5,0.16514655752107502,0.5023356944322586,0.7381276204565438,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
6,0.11306422725319862,0.48380164206027987,0.7322025128037617,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
7,0.0858707090606913,0.4994492016732693,0.7398696382512673,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
8,0.06506062737898902,0.48727722764015197,0.7346255883580575,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
9,0.04840990665834397,0.502548822760582,0.7411043915380309,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
10,0.03850631866371259,0.5141313195228576,0.7477488978668431,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
11,0.033928473701234904,0.5027324318885803,0.7516599377854852,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
12,0.030839323886903004,0.5022635906934738,0.7448206027286057,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
13,0.027847877214662732,0.4992452092468739,0.7467694403495658,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
14,0.02666048681130633,0.4986510992050171,0.74851812424022,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
15,0.025063777720788494,0.4950983554124832,0.7509423073943864,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
16,0.022073439130326732,0.4871662616729736,0.7467750415957847,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
17,0.02031405760499183,0.4905660659074783,0.7488864479755843,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
18,0.020156125910580157,0.5009349510073662,0.7497370818207225,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
19,0.018999227437598167,0.4980875484645367,0.7505115537523244,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
20,0.01897217203513719,0.4799263246357441,0.7507182789594953,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
21,0.01817241308744997,0.494228545576334,0.751273067653498,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
22,0.017468625406036154,0.5027362748980522,0.7522406646441304,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
23,0.016471722326241434,0.4953488901257515,0.7527518048297032,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
24,0.01729828164097853,0.491644836217165,0.7524259665290653,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
25,0.01627883707114961,0.4986132696270943,0.7537645110638047,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
26,0.016865457547828554,0.4820659466087818,0.7535708608703322,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
27,0.016075059707509352,0.4917798213660717,0.7523022361946893,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
28,0.01550732625182718,0.4926212325692177,0.7530436774083562,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
29,0.015750072099035606,0.49348787069320676,0.7515313376327323,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
30,0.015683629756676965,0.49351606220006944,0.7557078121247189,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
31,0.01564399433264043,0.49826183915138245,0.7543437790042196,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
32,0.015331808477640152,0.501821382343769,0.7570854791098631,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
33,0.014606652104703244,0.4889710947871208,0.7529476481043459,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
34,0.014620128570823,0.49354984015226366,0.7527171450835601,bert_lstm_attn_context,True,True,800,0.1,2,-1,11,False,bert
