Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'bert_lstm_context',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'bert_lstm_context',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': True,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': False,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 800,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard21/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': False,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 10,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0_contextual/bert_layer_11_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.1756; total val loss: 0.3592 val r: 0.6002; time: 0.96sec
[2/800][24/24] total train loss: 0.5598; total val loss: 0.4252 val r: 0.6874; time: 0.92sec
[3/800][24/24] total train loss: 0.3588; total val loss: 0.4633 val r: 0.7207; time: 0.92sec
[4/800][24/24] total train loss: 0.2057; total val loss: 0.4214 val r: 0.7070; time: 0.92sec
[5/800][24/24] total train loss: 0.1615; total val loss: 0.4621 val r: 0.7005; time: 0.92sec
[6/800][24/24] total train loss: 0.1047; total val loss: 0.5021 val r: 0.7265; time: 0.92sec
[7/800][24/24] total train loss: 0.0736; total val loss: 0.5004 val r: 0.7185; time: 0.92sec
[8/800][24/24] total train loss: 0.0524; total val loss: 0.4717 val r: 0.7021; time: 0.92sec
[9/800][24/24] total train loss: 0.0472; total val loss: 0.4551 val r: 0.7096; time: 0.92sec
[10/800][24/24] total train loss: 0.0404; total val loss: 0.4812 val r: 0.7168; time: 0.92sec
[11/800][24/24] total train loss: 0.0373; total val loss: 0.4757 val r: 0.7135; time: 0.92sec
[12/800][24/24] total train loss: 0.0327; total val loss: 0.4864 val r: 0.7256; time: 0.93sec
[13/800][24/24] total train loss: 0.0300; total val loss: 0.4587 val r: 0.7122; time: 0.93sec
[14/800][24/24] total train loss: 0.0287; total val loss: 0.4782 val r: 0.7204; time: 0.92sec
[15/800][24/24] total train loss: 0.0262; total val loss: 0.4685 val r: 0.7078; time: 0.92sec
[16/800][24/24] total train loss: 0.0291; total val loss: 0.4774 val r: 0.7275; time: 0.92sec
[17/800][24/24] total train loss: 0.0251; total val loss: 0.4552 val r: 0.7099; time: 0.92sec
[18/800][24/24] total train loss: 0.0231; total val loss: 0.4743 val r: 0.7211; time: 0.92sec
[19/800][24/24] total train loss: 0.0228; total val loss: 0.4580 val r: 0.7124; time: 0.92sec
[20/800][24/24] total train loss: 0.0205; total val loss: 0.4649 val r: 0.7208; time: 0.92sec
[21/800][24/24] total train loss: 0.0193; total val loss: 0.4925 val r: 0.7332; time: 0.93sec
[22/800][24/24] total train loss: 0.0196; total val loss: 0.4736 val r: 0.7190; time: 0.92sec
[23/800][24/24] total train loss: 0.0180; total val loss: 0.4860 val r: 0.7222; time: 0.92sec
[24/800][24/24] total train loss: 0.0179; total val loss: 0.4804 val r: 0.7264; time: 0.92sec
[25/800][24/24] total train loss: 0.0175; total val loss: 0.4590 val r: 0.7233; time: 0.93sec
[26/800][24/24] total train loss: 0.0188; total val loss: 0.4634 val r: 0.7290; time: 0.92sec
[27/800][24/24] total train loss: 0.0208; total val loss: 0.4578 val r: 0.7314; time: 0.93sec
[28/800][24/24] total train loss: 0.0202; total val loss: 0.4666 val r: 0.7239; time: 0.92sec
[29/800][24/24] total train loss: 0.0197; total val loss: 0.4852 val r: 0.7318; time: 0.93sec
[30/800][24/24] total train loss: 0.0177; total val loss: 0.4765 val r: 0.7315; time: 0.92sec
[31/800][24/24] total train loss: 0.0191; total val loss: 0.4953 val r: 0.7219; time: 0.92sec
[32/800][24/24] total train loss: 0.0179; total val loss: 0.4752 val r: 0.7301; time: 0.92sec
[33/800][24/24] total train loss: 0.0172; total val loss: 0.4873 val r: 0.7202; time: 0.92sec
[34/800][24/24] total train loss: 0.0181; total val loss: 0.4686 val r: 0.7232; time: 0.93sec
[35/800][24/24] total train loss: 0.0176; total val loss: 0.4945 val r: 0.7267; time: 0.92sec
[36/800][24/24] total train loss: 0.0164; total val loss: 0.4704 val r: 0.7316; time: 0.92sec
[37/800][24/24] total train loss: 0.0161; total val loss: 0.4623 val r: 0.7319; time: 0.93sec
[38/800][24/24] total train loss: 0.0151; total val loss: 0.4823 val r: 0.7213; time: 0.92sec
[39/800][24/24] total train loss: 0.0158; total val loss: 0.4990 val r: 0.7333; time: 0.92sec
[40/800][24/24] total train loss: 0.0151; total val loss: 0.4634 val r: 0.7221; time: 0.92sec
[41/800][24/24] total train loss: 0.0164; total val loss: 0.4511 val r: 0.7241; time: 0.92sec
[42/800][24/24] total train loss: 0.0169; total val loss: 0.4693 val r: 0.7333; time: 0.93sec
[43/800][24/24] total train loss: 0.0175; total val loss: 0.4656 val r: 0.7322; time: 0.92sec
[44/800][24/24] total train loss: 0.0169; total val loss: 0.4728 val r: 0.7221; time: 0.92sec
[45/800][24/24] total train loss: 0.0171; total val loss: 0.4775 val r: 0.7163; time: 0.92sec
[46/800][24/24] total train loss: 0.0172; total val loss: 0.4924 val r: 0.7271; time: 0.92sec
[47/800][24/24] total train loss: 0.0152; total val loss: 0.4589 val r: 0.7283; time: 0.92sec
[48/800][24/24] total train loss: 0.0165; total val loss: 0.4810 val r: 0.7218; time: 0.92sec
[49/800][24/24] total train loss: 0.0160; total val loss: 0.4811 val r: 0.7176; time: 0.92sec
[50/800][24/24] total train loss: 0.0151; total val loss: 0.4642 val r: 0.7221; time: 0.93sec
[51/800][24/24] total train loss: 0.0159; total val loss: 0.4815 val r: 0.7250; time: 0.93sec
[52/800][24/24] total train loss: 0.0156; total val loss: 0.4796 val r: 0.7304; time: 0.92sec
[53/800][24/24] total train loss: 0.0155; total val loss: 0.4576 val r: 0.7200; time: 0.92sec
[54/800][24/24] total train loss: 0.0158; total val loss: 0.4650 val r: 0.7219; time: 0.92sec
[55/800][24/24] total train loss: 0.0153; total val loss: 0.4847 val r: 0.7240; time: 0.91sec
[56/800][24/24] total train loss: 0.0136; total val loss: 0.4793 val r: 0.7220; time: 0.93sec
[57/800][24/24] total train loss: 0.0148; total val loss: 0.4850 val r: 0.7320; time: 0.92sec
[58/800][24/24] total train loss: 0.0153; total val loss: 0.5078 val r: 0.7227; time: 0.92sec
[59/800][24/24] total train loss: 0.0171; total val loss: 0.4905 val r: 0.7333; time: 0.92sec
[60/800][24/24] total train loss: 0.0162; total val loss: 0.4757 val r: 0.7218; time: 0.92sec
[61/800][24/24] total train loss: 0.0173; total val loss: 0.4622 val r: 0.7259; time: 0.93sec
[62/800][24/24] total train loss: 0.0180; total val loss: 0.5096 val r: 0.7338; time: 0.93sec
[63/800][24/24] total train loss: 0.0176; total val loss: 0.4742 val r: 0.7214; time: 0.91sec
[64/800][24/24] total train loss: 0.0179; total val loss: 0.4646 val r: 0.7234; time: 0.92sec
[65/800][24/24] total train loss: 0.0167; total val loss: 0.4581 val r: 0.7205; time: 0.92sec
[66/800][24/24] total train loss: 0.0157; total val loss: 0.4652 val r: 0.7171; time: 0.92sec
[67/800][24/24] total train loss: 0.0156; total val loss: 0.4738 val r: 0.7233; time: 0.92sec
[68/800][24/24] total train loss: 0.0159; total val loss: 0.4573 val r: 0.7226; time: 0.92sec
[69/800][24/24] total train loss: 0.0164; total val loss: 0.4646 val r: 0.7274; time: 0.92sec
[70/800][24/24] total train loss: 0.0151; total val loss: 0.4669 val r: 0.7273; time: 0.92sec
[71/800][24/24] total train loss: 0.0143; total val loss: 0.4785 val r: 0.7275; time: 0.92sec
[72/800][24/24] total train loss: 0.0132; total val loss: 0.4474 val r: 0.7208; time: 0.93sec
[73/800][24/24] total train loss: 0.0138; total val loss: 0.4700 val r: 0.7196; time: 0.92sec
[74/800][24/24] total train loss: 0.0143; total val loss: 0.4647 val r: 0.7243; time: 0.92sec
[75/800][24/24] total train loss: 0.0143; total val loss: 0.4598 val r: 0.7223; time: 0.93sec
[76/800][24/24] total train loss: 0.0127; total val loss: 0.4806 val r: 0.7295; time: 0.92sec
[77/800][24/24] total train loss: 0.0122; total val loss: 0.4824 val r: 0.7210; time: 0.93sec
[78/800][24/24] total train loss: 0.0136; total val loss: 0.4766 val r: 0.7264; time: 0.92sec
[79/800][24/24] total train loss: 0.0132; total val loss: 0.4322 val r: 0.7192; time: 0.92sec
[80/800][24/24] total train loss: 0.0130; total val loss: 0.4545 val r: 0.7123; time: 0.93sec
[81/800][24/24] total train loss: 0.0138; total val loss: 0.4676 val r: 0.7228; time: 0.92sec
[82/800][24/24] total train loss: 0.0146; total val loss: 0.4516 val r: 0.7278; time: 0.92sec
[83/800][24/24] total train loss: 0.0149; total val loss: 0.4830 val r: 0.7248; time: 0.93sec
[84/800][24/24] total train loss: 0.0134; total val loss: 0.4860 val r: 0.7189; time: 0.92sec
