epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,0.9297231609001756,0.4047686979174614,0.6516684947656987,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
1,0.4981590090319514,0.46168321967124937,0.6993042652364359,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
2,0.3167900241911411,0.47554775401949884,0.6977259510082195,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
3,0.215150646539405,0.47739163786172867,0.6953836212135238,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
4,0.15508514358662068,0.5045695379376411,0.6972171593943466,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
5,0.10914716019760817,0.4999164342880249,0.6831279473628733,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
6,0.0780173477018252,0.46397453397512434,0.6862751645712196,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
7,0.059802823583595455,0.5026996329426765,0.6939989200072904,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
8,0.04873990534106269,0.49063283652067186,0.6963275299157524,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
9,0.04046251235995442,0.47027144134044646,0.6838135184364715,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
10,0.03409959013806656,0.48988124877214434,0.6915822570986283,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
11,0.028139751206617804,0.47940588295459746,0.6871987790089115,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
12,0.024327246786560862,0.47507969811558726,0.6906350136415492,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
13,0.023248117684852333,0.4736839197576046,0.6903601679321809,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
14,0.02340454970835708,0.4862337902188301,0.68945833073616,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
15,0.020858184952521695,0.4793193854391575,0.690842778644211,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
16,0.020738084067124872,0.48296687453985215,0.694366370695525,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
17,0.018513069351320154,0.47542749643325805,0.690734538705758,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
18,0.018743330769939347,0.47967558950185774,0.6936230657410015,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
19,0.01804422093555331,0.4766439914703369,0.6920834322930453,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
20,0.017099467915249987,0.47399199679493903,0.6909703144929147,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
21,0.018078537989640608,0.4846398413181305,0.6957911994707028,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
22,0.01824397462478373,0.4766505904495716,0.6953184520808537,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
23,0.017223389534046875,0.4759496502578259,0.6906379381569303,elmo_lstm,False,True,400,0.1,2,1,-1,False,elmo
