Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'elmo_lstm',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 1,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'elmo_lstm',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': False,
 'IS_ELMO': True,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': False,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 400,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard18/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 10,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/elmo_layer_1_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 0.9428; total val loss: 0.4100 val r: 0.6394; time: 0.72sec
[2/800][24/24] total train loss: 0.5102; total val loss: 0.4446 val r: 0.6866; time: 0.69sec
[3/800][24/24] total train loss: 0.3381; total val loss: 0.4814 val r: 0.7027; time: 0.68sec
[4/800][24/24] total train loss: 0.2233; total val loss: 0.5000 val r: 0.6862; time: 0.68sec
[5/800][24/24] total train loss: 0.1602; total val loss: 0.5733 val r: 0.6875; time: 0.69sec
[6/800][24/24] total train loss: 0.1124; total val loss: 0.4920 val r: 0.6627; time: 0.68sec
[7/800][24/24] total train loss: 0.0753; total val loss: 0.4588 val r: 0.6792; time: 0.70sec
[8/800][24/24] total train loss: 0.0619; total val loss: 0.5312 val r: 0.6756; time: 0.70sec
[9/800][24/24] total train loss: 0.0588; total val loss: 0.5053 val r: 0.6846; time: 0.70sec
[10/800][24/24] total train loss: 0.0445; total val loss: 0.4721 val r: 0.6748; time: 0.70sec
[11/800][24/24] total train loss: 0.0352; total val loss: 0.4828 val r: 0.6694; time: 0.70sec
[12/800][24/24] total train loss: 0.0264; total val loss: 0.4699 val r: 0.6833; time: 0.70sec
[13/800][24/24] total train loss: 0.0247; total val loss: 0.4561 val r: 0.6801; time: 0.70sec
[14/800][24/24] total train loss: 0.0225; total val loss: 0.4591 val r: 0.6691; time: 0.69sec
[15/800][24/24] total train loss: 0.0246; total val loss: 0.4665 val r: 0.6727; time: 0.73sec
[16/800][24/24] total train loss: 0.0231; total val loss: 0.4566 val r: 0.6751; time: 0.69sec
[17/800][24/24] total train loss: 0.0208; total val loss: 0.4833 val r: 0.6780; time: 0.72sec
[18/800][24/24] total train loss: 0.0197; total val loss: 0.4745 val r: 0.6684; time: 0.70sec
