epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,0.8855204235762357,0.4136927708983421,0.6498712808602148,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
1,0.5204550703987479,0.4395486623048782,0.7312229857078074,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
2,0.3519615690223873,0.4793207086622715,0.7382569911099406,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
3,0.2501355201937258,0.5089859396219254,0.7386294382305443,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
4,0.1756790759973228,0.49556141942739484,0.7361535065637558,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
5,0.1245529496576637,0.4888160228729248,0.7256397497487452,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
6,0.09068231238052249,0.512007699906826,0.7295418692475846,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
7,0.062245740427169946,0.5102997675538063,0.7258467494964611,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
8,0.047749325528275224,0.5004685215651989,0.7283997150942927,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
9,0.03752134904498235,0.5017429649829864,0.7250920347021084,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
10,0.03248591786250472,0.5039395749568939,0.7306471643315804,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
11,0.029288001422537492,0.49746847301721575,0.7275461927525906,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
12,0.026472591317724437,0.4982461377978325,0.7297424598941848,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
13,0.025319882831536234,0.4794329941272736,0.7245707254018537,elmo_lstm_attn,True,True,400,0.1,2,1,-1,False,elmo
