Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'elmo_lstm_attn',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 1,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'elmo_lstm_attn',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': False,
 'IS_ELMO': True,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': True,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 400,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard18/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 10,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/elmo_layer_1_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 0.8855; total val loss: 0.5081 val r: 0.6572; time: 0.52sec
[2/800][24/24] total train loss: 0.5196; total val loss: 0.4368 val r: 0.7341; time: 0.50sec
[3/800][24/24] total train loss: 0.3437; total val loss: 0.4620 val r: 0.7315; time: 0.50sec
[4/800][24/24] total train loss: 0.2450; total val loss: 0.5952 val r: 0.7134; time: 0.50sec
[5/800][24/24] total train loss: 0.1819; total val loss: 0.4930 val r: 0.7207; time: 0.50sec
[6/800][24/24] total train loss: 0.1329; total val loss: 0.5081 val r: 0.7148; time: 0.50sec
[7/800][24/24] total train loss: 0.1205; total val loss: 0.5072 val r: 0.6950; time: 0.50sec
[8/800][24/24] total train loss: 0.0745; total val loss: 0.4816 val r: 0.6883; time: 0.50sec
[9/800][24/24] total train loss: 0.0557; total val loss: 0.5102 val r: 0.6901; time: 0.50sec
[10/800][24/24] total train loss: 0.0400; total val loss: 0.5112 val r: 0.6944; time: 0.51sec
[11/800][24/24] total train loss: 0.0362; total val loss: 0.5189 val r: 0.6850; time: 0.51sec
[12/800][24/24] total train loss: 0.0308; total val loss: 0.5282 val r: 0.7017; time: 0.51sec
[13/800][24/24] total train loss: 0.0284; total val loss: 0.4826 val r: 0.6978; time: 0.51sec
[14/800][24/24] total train loss: 0.0256; total val loss: 0.4941 val r: 0.6959; time: 0.51sec
[15/800][24/24] total train loss: 0.0247; total val loss: 0.4677 val r: 0.6838; time: 0.50sec
[16/800][24/24] total train loss: 0.0220; total val loss: 0.5011 val r: 0.7000; time: 0.50sec
[17/800][24/24] total train loss: 0.0216; total val loss: 0.5019 val r: 0.6996; time: 0.50sec
[18/800][24/24] total train loss: 0.0221; total val loss: 0.4936 val r: 0.6944; time: 0.52sec
[19/800][24/24] total train loss: 0.0196; total val loss: 0.5083 val r: 0.6992; time: 0.53sec
[20/800][24/24] total train loss: 0.0177; total val loss: 0.4984 val r: 0.7017; time: 0.51sec
