epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.1773092225193977,0.30728121399879454,0.3293423617231251,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
1,1.0151786971837282,0.36453748121857643,0.45396846903962923,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
2,0.7953668341040612,0.4234944321215153,0.6166409665151227,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
3,0.5482898594811558,0.44319143146276474,0.6556467944234823,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
4,0.4239067447371781,0.45865298956632616,0.6614317685196479,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
5,0.3114064933732152,0.47992863953113557,0.661119952325959,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
6,0.2215747102163732,0.48888460695743563,0.6427320419385985,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
7,0.15674137640744448,0.47491383254528047,0.6447856968588691,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
8,0.12035392737016082,0.48513070195913316,0.6409648424100809,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
9,0.0834392247023061,0.5042850062251091,0.6463630916784201,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
10,0.06521586449816823,0.4987958766520023,0.6476450966238962,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
11,0.04821666886564344,0.4953817918896675,0.6414356923764746,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
12,0.038171585719101134,0.48868832886219027,0.6485565891919362,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
13,0.03401562619255856,0.475040789693594,0.64105372088305,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
14,0.029399536206619815,0.47215484753251075,0.6473345817463565,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
15,0.02645331877283752,0.4907426744699478,0.6439803977486058,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
16,0.023211619909852745,0.49505462795495986,0.6496144099582357,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
17,0.020878642052412032,0.4835425689816475,0.6512726900534953,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
18,0.01986270720954053,0.48535694628953935,0.6519877858704973,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
19,0.019578186293074396,0.4854015186429024,0.6478801443379584,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
20,0.018661237807828003,0.4794819712638855,0.6465643897501516,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
21,0.016322571347700432,0.48393836319446565,0.6548242436025913,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
22,0.01597328984789783,0.4744372971355915,0.6525106566548462,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
23,0.01657996620342601,0.47540952265262604,0.6509893830032936,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
24,0.01613067573925946,0.4820821560919285,0.6550164066897329,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
25,0.015428359570796602,0.4720929451286793,0.6518496297438787,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
26,0.014843230391852558,0.48324052840471265,0.656921346720949,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
27,0.015647812013048677,0.4813706882297993,0.6532652709415647,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
28,0.014957159018376843,0.47884146571159364,0.6540629406095735,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
29,0.015344394520798232,0.4766522079706192,0.6547336633205546,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
30,0.01663342279207427,0.48188904002308847,0.6556331134948844,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
31,0.01580184217018541,0.4696928456425667,0.6587296770175033,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
32,0.01499128284631297,0.48087580800056456,0.6584058978440674,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
33,0.0151107016732567,0.4691604733467102,0.660216344495128,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
34,0.01436346108384896,0.4828635513782501,0.6582336867599443,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
35,0.013007568634930067,0.46959903836250305,0.6573017556266779,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
36,0.012939960090443492,0.4793209910392761,0.6598051003318215,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
37,0.013035279321775306,0.472867789119482,0.6583302850738608,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
38,0.014002703479491174,0.4871341407299042,0.6617162623064997,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
39,0.013092985717230476,0.4779081530869007,0.6617853506619348,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
40,0.012940737286407966,0.4747176729142666,0.662754019414593,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
41,0.013462372947833501,0.47880330458283427,0.659013280447213,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
42,0.0132526273271651,0.48141676038503645,0.6602863555673102,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
43,0.013381171619403175,0.47734425961971283,0.6628058073811584,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
44,0.012653550348477437,0.4744838759303093,0.6635761743504969,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
45,0.012370858358917759,0.4755325846374035,0.6653803000117133,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
46,0.012901039309508634,0.47991601973772047,0.6612327239576453,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
47,0.0128117492509773,0.4779738590121269,0.6638165436736635,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
48,0.012397425471135648,0.4816327214241028,0.665395982857385,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
49,0.012669803370954469,0.47534487918019297,0.6644069662312282,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
50,0.012924886011023772,0.49004906266927717,0.6668762677756926,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
51,0.01295645957434317,0.47299386858940123,0.6623028084920597,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
52,0.012552489119116217,0.4739577561616898,0.6647434566591727,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
53,0.011997692663862835,0.4781944051384926,0.6658027030631996,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
54,0.011768468106311047,0.4715129978954792,0.6653592190079234,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
55,0.01176488627534127,0.4748509243130684,0.666393374127358,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
56,0.011830067815026268,0.4725231803953648,0.6667401485880292,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
57,0.012462778303597589,0.47385040745139123,0.6674863226175629,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
58,0.013234396438929253,0.4772640995681286,0.6646464290624754,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
59,0.012869942325050943,0.47899126410484316,0.6650642247942763,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
60,0.012306299319607205,0.4812399409711361,0.6681684595316326,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
61,0.012066926255647559,0.4749796040356159,0.6651790698224948,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
62,0.011766789668035927,0.47397652342915536,0.6666841881523106,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
63,0.012289371211954859,0.4772804409265518,0.664977370371606,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
64,0.011772896617185325,0.48050536289811135,0.6692082364834782,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
65,0.011343439966003644,0.4712104171514511,0.6667571031194097,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
66,0.011058439586486201,0.4735331252217293,0.6662041617497474,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
67,0.011287290565815056,0.4736086316406727,0.6675550714061913,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
68,0.01215720894469996,0.47906518206000326,0.6691412788509774,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
69,0.011564708096557297,0.4745969012379646,0.6676899132820788,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
70,0.011642369074252201,0.4736528888344765,0.6692215827208285,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
71,0.012780928768916056,0.48933921903371813,0.6765448688427785,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
72,0.012837446048797574,0.4693656340241432,0.6718669381158928,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
73,0.01258869606317603,0.48034843504428865,0.669624797091398,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
74,0.011895899988303427,0.48070901483297346,0.6743291401121898,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
75,0.011850160504400265,0.466161897778511,0.6688236275973102,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
76,0.011342438030987978,0.4707822844386101,0.6741342301930091,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
77,0.011142379607917974,0.4762165561318398,0.6701849173568482,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
78,0.01147268366185017,0.479947592318058,0.6709820515487317,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
79,0.011317421494459268,0.47518412172794344,0.6737755342759927,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
80,0.011367033524584258,0.47412927597761156,0.6685275710239422,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
81,0.011246339180797805,0.4701923541724682,0.6715446318070494,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
82,0.011156660594861024,0.4742636144161224,0.6716979845599605,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
83,0.011338130013609771,0.4726178877055645,0.6715629389897735,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
84,0.011302928636723664,0.4747015662491322,0.672632220138451,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
85,0.010917685300228186,0.46456352025270464,0.6714281999363081,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
86,0.010969360241142567,0.47535783872008325,0.6749646629843455,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
87,0.011386014100571629,0.47587688118219373,0.6759742533557955,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
88,0.011055903224041685,0.47029420286417006,0.6737262876217849,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
89,0.010742226541333366,0.47736613675951955,0.6746525272529894,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
90,0.010787483510648599,0.477429685741663,0.6720545771134351,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
91,0.010407129866507603,0.47604274228215215,0.6769577236449351,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
92,0.010543772235541838,0.47139403969049454,0.67346065237189,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
93,0.01079578600183595,0.4705115906894207,0.674104084994531,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
94,0.011164904622273753,0.462994659692049,0.6753186904316242,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
95,0.01111755146557698,0.4788543753325939,0.6775467953800732,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
96,0.01090638157838839,0.46682867258787153,0.6730946898241983,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
97,0.010716252207930665,0.4757888615131378,0.6748275372133226,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
98,0.01052570162792108,0.47664484158158305,0.67493246783133,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
99,0.010272115363477496,0.479484498500824,0.6749196849185974,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
100,0.01015050259884447,0.48630958795547485,0.6737755469266892,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
101,0.01026591519403155,0.48488115668296816,0.6754746730694849,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
102,0.010135494616406504,0.4670175097882748,0.6745235686562578,elmo_lstm_attn_context,True,True,400,0.1,2,1,-1,False,elmo
