Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'elmo_lstm_attn_context',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 1,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'elmo_lstm_attn_context',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': False,
 'IS_ELMO': True,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': True,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 400,
          'LAYERS': 2,
          'SEQ_LEN': 150},
 'MODE': 'train',
 'OUT_PATH': '/jagupard18/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': False,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 10,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0_contextual/elmo_layer_1_lstm/embs_train_150.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.1650; total val loss: 0.3070 val r: 0.3445; time: 2.94sec
[2/800][24/24] total train loss: 0.9110; total val loss: 0.3904 val r: 0.5456; time: 2.24sec
[3/800][24/24] total train loss: 0.6725; total val loss: 0.4957 val r: 0.6826; time: 2.25sec
[4/800][24/24] total train loss: 0.4746; total val loss: 0.4444 val r: 0.6879; time: 2.24sec
[5/800][24/24] total train loss: 0.3249; total val loss: 0.4761 val r: 0.6595; time: 2.23sec
[6/800][24/24] total train loss: 0.2422; total val loss: 0.5599 val r: 0.6668; time: 2.23sec
[7/800][24/24] total train loss: 0.1773; total val loss: 0.5196 val r: 0.6520; time: 2.24sec
[8/800][24/24] total train loss: 0.1273; total val loss: 0.5072 val r: 0.6644; time: 2.24sec
[9/800][24/24] total train loss: 0.0764; total val loss: 0.5294 val r: 0.6547; time: 2.25sec
[10/800][24/24] total train loss: 0.0588; total val loss: 0.5384 val r: 0.6647; time: 2.29sec
[11/800][24/24] total train loss: 0.0529; total val loss: 0.5125 val r: 0.6734; time: 2.29sec
[12/800][24/24] total train loss: 0.0447; total val loss: 0.4960 val r: 0.6426; time: 2.29sec
[13/800][24/24] total train loss: 0.0348; total val loss: 0.4939 val r: 0.6757; time: 2.20sec
[14/800][24/24] total train loss: 0.0337; total val loss: 0.5139 val r: 0.6637; time: 2.24sec
[15/800][24/24] total train loss: 0.0312; total val loss: 0.4863 val r: 0.6671; time: 2.24sec
[16/800][24/24] total train loss: 0.0332; total val loss: 0.5435 val r: 0.6670; time: 2.24sec
[17/800][24/24] total train loss: 0.0307; total val loss: 0.5086 val r: 0.6805; time: 2.15sec
[18/800][24/24] total train loss: 0.0252; total val loss: 0.4899 val r: 0.6616; time: 2.18sec
[19/800][24/24] total train loss: 0.0228; total val loss: 0.5099 val r: 0.6789; time: 2.23sec
