Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'elmo_lstm_context',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 1,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'elmo_lstm_context',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': False,
 'IS_ELMO': True,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': False,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 400,
          'LAYERS': 2,
          'SEQ_LEN': 150},
 'MODE': 'train',
 'OUT_PATH': '/jagupard18/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': False,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 10,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0_contextual/elmo_layer_1_lstm/embs_train_150.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.0713; total val loss: 0.4457 val r: 0.6418; time: 2.91sec
[2/800][24/24] total train loss: 0.6815; total val loss: 0.3951 val r: 0.6862; time: 2.76sec
[3/800][24/24] total train loss: 0.4323; total val loss: 0.4590 val r: 0.7048; time: 2.72sec
[4/800][24/24] total train loss: 0.2958; total val loss: 0.4190 val r: 0.7073; time: 2.74sec
[5/800][24/24] total train loss: 0.2575; total val loss: 0.4982 val r: 0.7084; time: 2.74sec
[6/800][24/24] total train loss: 0.2139; total val loss: 0.5443 val r: 0.6887; time: 2.76sec
[7/800][24/24] total train loss: 0.1188; total val loss: 0.4450 val r: 0.6886; time: 2.75sec
[8/800][24/24] total train loss: 0.0752; total val loss: 0.4946 val r: 0.7063; time: 2.76sec
[9/800][24/24] total train loss: 0.0433; total val loss: 0.4686 val r: 0.7153; time: 2.75sec
[10/800][24/24] total train loss: 0.0332; total val loss: 0.4726 val r: 0.7119; time: 3.03sec
[11/800][24/24] total train loss: 0.0292; total val loss: 0.4656 val r: 0.7176; time: 3.07sec
[12/800][24/24] total train loss: 0.0255; total val loss: 0.4642 val r: 0.7055; time: 2.92sec
[13/800][24/24] total train loss: 0.0282; total val loss: 0.4816 val r: 0.7215; time: 3.05sec
[14/800][24/24] total train loss: 0.0257; total val loss: 0.4712 val r: 0.7184; time: 3.02sec
[15/800][24/24] total train loss: 0.0219; total val loss: 0.4563 val r: 0.7178; time: 3.02sec
[16/800][24/24] total train loss: 0.0267; total val loss: 0.4264 val r: 0.7193; time: 3.00sec
[17/800][24/24] total train loss: 0.0248; total val loss: 0.4744 val r: 0.7146; time: 2.96sec
[18/800][24/24] total train loss: 0.0249; total val loss: 0.4567 val r: 0.7156; time: 2.96sec
[19/800][24/24] total train loss: 0.0271; total val loss: 0.4959 val r: 0.7198; time: 2.95sec
[20/800][24/24] total train loss: 0.0235; total val loss: 0.4633 val r: 0.7102; time: 2.95sec
[21/800][24/24] total train loss: 0.0183; total val loss: 0.4616 val r: 0.7115; time: 2.85sec
[22/800][24/24] total train loss: 0.0187; total val loss: 0.4795 val r: 0.7176; time: 2.76sec
[23/800][24/24] total train loss: 0.0181; total val loss: 0.4909 val r: 0.7189; time: 2.77sec
[24/800][24/24] total train loss: 0.0181; total val loss: 0.4835 val r: 0.7179; time: 2.85sec
[25/800][24/24] total train loss: 0.0161; total val loss: 0.4774 val r: 0.7141; time: 2.96sec
[26/800][24/24] total train loss: 0.0159; total val loss: 0.4287 val r: 0.7205; time: 2.98sec
[27/800][24/24] total train loss: 0.0144; total val loss: 0.4630 val r: 0.7137; time: 3.06sec
[28/800][24/24] total train loss: 0.0147; total val loss: 0.4832 val r: 0.7219; time: 3.08sec
[29/800][24/24] total train loss: 0.0144; total val loss: 0.4481 val r: 0.7139; time: 3.00sec
[30/800][24/24] total train loss: 0.0153; total val loss: 0.4641 val r: 0.7059; time: 3.01sec
[31/800][24/24] total train loss: 0.0139; total val loss: 0.4399 val r: 0.7132; time: 2.91sec
[32/800][24/24] total train loss: 0.0153; total val loss: 0.4748 val r: 0.7220; time: 2.92sec
[33/800][24/24] total train loss: 0.0153; total val loss: 0.4757 val r: 0.7169; time: 2.92sec
[34/800][24/24] total train loss: 0.0152; total val loss: 0.4746 val r: 0.7185; time: 2.95sec
[35/800][24/24] total train loss: 0.0157; total val loss: 0.4610 val r: 0.7208; time: 2.96sec
[36/800][24/24] total train loss: 0.0155; total val loss: 0.4795 val r: 0.7183; time: 2.97sec
[37/800][24/24] total train loss: 0.0157; total val loss: 0.4717 val r: 0.7118; time: 2.99sec
[38/800][24/24] total train loss: 0.0147; total val loss: 0.4687 val r: 0.7125; time: 3.02sec
[39/800][24/24] total train loss: 0.0141; total val loss: 0.4829 val r: 0.7197; time: 3.09sec
[40/800][24/24] total train loss: 0.0135; total val loss: 0.4672 val r: 0.7217; time: 3.08sec
[41/800][24/24] total train loss: 0.0140; total val loss: 0.4523 val r: 0.7174; time: 3.02sec
[42/800][24/24] total train loss: 0.0144; total val loss: 0.4685 val r: 0.7220; time: 3.02sec
[43/800][24/24] total train loss: 0.0163; total val loss: 0.4563 val r: 0.7183; time: 3.01sec
[44/800][24/24] total train loss: 0.0151; total val loss: 0.4633 val r: 0.7235; time: 3.00sec
[45/800][24/24] total train loss: 0.0156; total val loss: 0.4560 val r: 0.7271; time: 3.01sec
[46/800][24/24] total train loss: 0.0164; total val loss: 0.4552 val r: 0.7242; time: 3.02sec
[47/800][24/24] total train loss: 0.0161; total val loss: 0.4717 val r: 0.7207; time: 3.01sec
[48/800][24/24] total train loss: 0.0157; total val loss: 0.4533 val r: 0.7165; time: 3.02sec
[49/800][24/24] total train loss: 0.0133; total val loss: 0.4714 val r: 0.7179; time: 3.02sec
[50/800][24/24] total train loss: 0.0135; total val loss: 0.4587 val r: 0.7127; time: 3.00sec
[51/800][24/24] total train loss: 0.0130; total val loss: 0.4887 val r: 0.7208; time: 2.98sec
[52/800][24/24] total train loss: 0.0153; total val loss: 0.4753 val r: 0.7205; time: 3.09sec
[53/800][24/24] total train loss: 0.0149; total val loss: 0.4456 val r: 0.7154; time: 3.08sec
[54/800][24/24] total train loss: 0.0159; total val loss: 0.4486 val r: 0.7160; time: 3.06sec
[55/800][24/24] total train loss: 0.0158; total val loss: 0.4646 val r: 0.7237; time: 3.03sec
[56/800][24/24] total train loss: 0.0149; total val loss: 0.4506 val r: 0.7097; time: 2.95sec
[57/800][24/24] total train loss: 0.0140; total val loss: 0.4634 val r: 0.7210; time: 3.02sec
[58/800][24/24] total train loss: 0.0156; total val loss: 0.4657 val r: 0.7210; time: 3.02sec
[59/800][24/24] total train loss: 0.0146; total val loss: 0.4541 val r: 0.7152; time: 2.91sec
[60/800][24/24] total train loss: 0.0143; total val loss: 0.4756 val r: 0.7217; time: 2.93sec
[61/800][24/24] total train loss: 0.0139; total val loss: 0.4727 val r: 0.7194; time: 2.95sec
[62/800][24/24] total train loss: 0.0130; total val loss: 0.4737 val r: 0.7250; time: 2.92sec
[63/800][24/24] total train loss: 0.0124; total val loss: 0.4628 val r: 0.7156; time: 3.00sec
[64/800][24/24] total train loss: 0.0125; total val loss: 0.4633 val r: 0.7218; time: 3.06sec
[65/800][24/24] total train loss: 0.0130; total val loss: 0.4642 val r: 0.7203; time: 3.09sec
[66/800][24/24] total train loss: 0.0132; total val loss: 0.4629 val r: 0.7235; time: 3.08sec
[67/800][24/24] total train loss: 0.0124; total val loss: 0.4615 val r: 0.7233; time: 3.03sec
[68/800][24/24] total train loss: 0.0126; total val loss: 0.4475 val r: 0.7204; time: 3.00sec
[69/800][24/24] total train loss: 0.0131; total val loss: 0.4650 val r: 0.7172; time: 3.01sec
[70/800][24/24] total train loss: 0.0129; total val loss: 0.4422 val r: 0.7175; time: 3.00sec
[71/800][24/24] total train loss: 0.0122; total val loss: 0.4569 val r: 0.7201; time: 2.90sec
[72/800][24/24] total train loss: 0.0124; total val loss: 0.4825 val r: 0.7234; time: 2.92sec
[73/800][24/24] total train loss: 0.0128; total val loss: 0.4702 val r: 0.7222; time: 2.92sec
[74/800][24/24] total train loss: 0.0128; total val loss: 0.4583 val r: 0.7184; time: 2.92sec
[75/800][24/24] total train loss: 0.0124; total val loss: 0.4688 val r: 0.7174; time: 2.96sec
[76/800][24/24] total train loss: 0.0123; total val loss: 0.4673 val r: 0.7178; time: 3.02sec
[77/800][24/24] total train loss: 0.0127; total val loss: 0.4656 val r: 0.7208; time: 3.08sec
[78/800][24/24] total train loss: 0.0126; total val loss: 0.4621 val r: 0.7242; time: 3.10sec
[79/800][24/24] total train loss: 0.0126; total val loss: 0.4557 val r: 0.7187; time: 3.06sec
[80/800][24/24] total train loss: 0.0122; total val loss: 0.4572 val r: 0.7223; time: 3.03sec
[81/800][24/24] total train loss: 0.0125; total val loss: 0.4581 val r: 0.7194; time: 2.92sec
[82/800][24/24] total train loss: 0.0128; total val loss: 0.4725 val r: 0.7193; time: 2.93sec
[83/800][24/24] total train loss: 0.0124; total val loss: 0.4726 val r: 0.7243; time: 2.95sec
[84/800][24/24] total train loss: 0.0129; total val loss: 0.4618 val r: 0.7220; time: 2.94sec
[85/800][24/24] total train loss: 0.0131; total val loss: 0.4661 val r: 0.7168; time: 2.91sec
[86/800][24/24] total train loss: 0.0136; total val loss: 0.4508 val r: 0.7189; time: 2.91sec
[87/800][24/24] total train loss: 0.0137; total val loss: 0.4552 val r: 0.7214; time: 2.90sec
[88/800][24/24] total train loss: 0.0129; total val loss: 0.4334 val r: 0.7199; time: 2.93sec
[89/800][24/24] total train loss: 0.0118; total val loss: 0.4575 val r: 0.7266; time: 3.02sec
[90/800][24/24] total train loss: 0.0119; total val loss: 0.4450 val r: 0.7236; time: 2.87sec
[91/800][24/24] total train loss: 0.0123; total val loss: 0.4695 val r: 0.7267; time: 3.04sec
[92/800][24/24] total train loss: 0.0138; total val loss: 0.4606 val r: 0.7242; time: 3.05sec
[93/800][24/24] total train loss: 0.0134; total val loss: 0.4430 val r: 0.7178; time: 2.88sec
[94/800][24/24] total train loss: 0.0134; total val loss: 0.4708 val r: 0.7198; time: 2.96sec
[95/800][24/24] total train loss: 0.0128; total val loss: 0.4541 val r: 0.7238; time: 3.03sec
[96/800][24/24] total train loss: 0.0124; total val loss: 0.4601 val r: 0.7200; time: 3.00sec
[97/800][24/24] total train loss: 0.0120; total val loss: 0.4744 val r: 0.7227; time: 3.00sec
[98/800][24/24] total train loss: 0.0118; total val loss: 0.4467 val r: 0.7202; time: 3.01sec
[99/800][24/24] total train loss: 0.0123; total val loss: 0.4787 val r: 0.7279; time: 3.03sec
learning rate updated: 0.001
[100/800][24/24] total train loss: 0.0117; total val loss: 0.4496 val r: 0.7166; time: 3.02sec
[101/800][24/24] total train loss: 0.0119; total val loss: 0.4732 val r: 0.7267; time: 2.96sec
[102/800][24/24] total train loss: 0.0110; total val loss: 0.4548 val r: 0.7200; time: 2.87sec
[103/800][24/24] total train loss: 0.0116; total val loss: 0.4638 val r: 0.7243; time: 3.07sec
[104/800][24/24] total train loss: 0.0119; total val loss: 0.4667 val r: 0.7259; time: 3.05sec
[105/800][24/24] total train loss: 0.0111; total val loss: 0.4625 val r: 0.7254; time: 3.01sec
[106/800][24/24] total train loss: 0.0115; total val loss: 0.4716 val r: 0.7208; time: 3.00sec
[107/800][24/24] total train loss: 0.0113; total val loss: 0.4580 val r: 0.7195; time: 3.00sec
[108/800][24/24] total train loss: 0.0120; total val loss: 0.4554 val r: 0.7276; time: 2.95sec
[109/800][24/24] total train loss: 0.0120; total val loss: 0.4632 val r: 0.7272; time: 2.97sec
[110/800][24/24] total train loss: 0.0111; total val loss: 0.4444 val r: 0.7206; time: 2.96sec
[111/800][24/24] total train loss: 0.0116; total val loss: 0.4705 val r: 0.7273; time: 2.84sec
[112/800][24/24] total train loss: 0.0117; total val loss: 0.4480 val r: 0.7305; time: 2.85sec
[113/800][24/24] total train loss: 0.0112; total val loss: 0.4586 val r: 0.7266; time: 2.89sec
[114/800][24/24] total train loss: 0.0115; total val loss: 0.4550 val r: 0.7249; time: 2.97sec
[115/800][24/24] total train loss: 0.0115; total val loss: 0.4720 val r: 0.7275; time: 3.04sec
[116/800][24/24] total train loss: 0.0118; total val loss: 0.4532 val r: 0.7172; time: 3.06sec
[117/800][24/24] total train loss: 0.0119; total val loss: 0.4718 val r: 0.7229; time: 3.04sec
[118/800][24/24] total train loss: 0.0122; total val loss: 0.4633 val r: 0.7242; time: 3.01sec
[119/800][24/24] total train loss: 0.0120; total val loss: 0.4768 val r: 0.7221; time: 2.99sec
[120/800][24/24] total train loss: 0.0116; total val loss: 0.4752 val r: 0.7219; time: 2.96sec
[121/800][24/24] total train loss: 0.0110; total val loss: 0.4642 val r: 0.7239; time: 2.89sec
[122/800][24/24] total train loss: 0.0111; total val loss: 0.4622 val r: 0.7147; time: 2.87sec
[123/800][24/24] total train loss: 0.0112; total val loss: 0.4512 val r: 0.7250; time: 2.88sec
[124/800][24/24] total train loss: 0.0117; total val loss: 0.4686 val r: 0.7267; time: 2.85sec
[125/800][24/24] total train loss: 0.0117; total val loss: 0.4818 val r: 0.7178; time: 2.82sec
[126/800][24/24] total train loss: 0.0118; total val loss: 0.4771 val r: 0.7208; time: 2.88sec
[127/800][24/24] total train loss: 0.0112; total val loss: 0.4559 val r: 0.7226; time: 2.87sec
[128/800][24/24] total train loss: 0.0117; total val loss: 0.4744 val r: 0.7234; time: 3.03sec
[129/800][24/24] total train loss: 0.0116; total val loss: 0.4502 val r: 0.7217; time: 3.04sec
[130/800][24/24] total train loss: 0.0114; total val loss: 0.4534 val r: 0.7215; time: 2.98sec
[131/800][24/24] total train loss: 0.0109; total val loss: 0.4588 val r: 0.7257; time: 2.85sec
[132/800][24/24] total train loss: 0.0104; total val loss: 0.4548 val r: 0.7187; time: 2.85sec
[133/800][24/24] total train loss: 0.0110; total val loss: 0.4683 val r: 0.7271; time: 2.85sec
[134/800][24/24] total train loss: 0.0115; total val loss: 0.4426 val r: 0.7213; time: 2.83sec
[135/800][24/24] total train loss: 0.0118; total val loss: 0.4655 val r: 0.7175; time: 2.82sec
[136/800][24/24] total train loss: 0.0116; total val loss: 0.4489 val r: 0.7242; time: 2.82sec
[137/800][24/24] total train loss: 0.0118; total val loss: 0.4529 val r: 0.7206; time: 2.88sec
[138/800][24/24] total train loss: 0.0115; total val loss: 0.4626 val r: 0.7244; time: 2.90sec
[139/800][24/24] total train loss: 0.0116; total val loss: 0.4565 val r: 0.7222; time: 2.90sec
[140/800][24/24] total train loss: 0.0112; total val loss: 0.4901 val r: 0.7237; time: 2.96sec
[141/800][24/24] total train loss: 0.0114; total val loss: 0.4822 val r: 0.7237; time: 3.00sec
[142/800][24/24] total train loss: 0.0114; total val loss: 0.4672 val r: 0.7227; time: 3.06sec
[143/800][24/24] total train loss: 0.0108; total val loss: 0.4574 val r: 0.7232; time: 3.00sec
[144/800][24/24] total train loss: 0.0108; total val loss: 0.4759 val r: 0.7190; time: 3.00sec
[145/800][24/24] total train loss: 0.0109; total val loss: 0.4587 val r: 0.7246; time: 3.00sec
[146/800][24/24] total train loss: 0.0107; total val loss: 0.4406 val r: 0.7151; time: 3.00sec
[147/800][24/24] total train loss: 0.0107; total val loss: 0.4549 val r: 0.7269; time: 2.99sec
[148/800][24/24] total train loss: 0.0104; total val loss: 0.4613 val r: 0.7179; time: 3.00sec
[149/800][24/24] total train loss: 0.0104; total val loss: 0.4665 val r: 0.7195; time: 2.98sec
[150/800][24/24] total train loss: 0.0106; total val loss: 0.4473 val r: 0.7200; time: 3.02sec
[151/800][24/24] total train loss: 0.0108; total val loss: 0.4664 val r: 0.7202; time: 2.93sec
[152/800][24/24] total train loss: 0.0105; total val loss: 0.4463 val r: 0.7171; time: 2.96sec
[153/800][24/24] total train loss: 0.0103; total val loss: 0.4578 val r: 0.7208; time: 3.01sec
[154/800][24/24] total train loss: 0.0113; total val loss: 0.4656 val r: 0.7227; time: 3.02sec
[155/800][24/24] total train loss: 0.0119; total val loss: 0.4784 val r: 0.7211; time: 3.03sec
[156/800][24/24] total train loss: 0.0105; total val loss: 0.4848 val r: 0.7258; time: 3.02sec
[157/800][24/24] total train loss: 0.0109; total val loss: 0.4514 val r: 0.7206; time: 2.97sec
[158/800][24/24] total train loss: 0.0105; total val loss: 0.4776 val r: 0.7218; time: 2.89sec
[159/800][24/24] total train loss: 0.0101; total val loss: 0.4644 val r: 0.7191; time: 3.00sec
[160/800][24/24] total train loss: 0.0105; total val loss: 0.4750 val r: 0.7222; time: 3.00sec
[161/800][24/24] total train loss: 0.0106; total val loss: 0.4613 val r: 0.7245; time: 2.90sec
[162/800][24/24] total train loss: 0.0107; total val loss: 0.4691 val r: 0.7248; time: 2.91sec
[163/800][24/24] total train loss: 0.0114; total val loss: 0.4559 val r: 0.7225; time: 2.92sec
[164/800][24/24] total train loss: 0.0113; total val loss: 0.4587 val r: 0.7224; time: 2.95sec
[165/800][24/24] total train loss: 0.0105; total val loss: 0.4573 val r: 0.7208; time: 2.93sec
[166/800][24/24] total train loss: 0.0103; total val loss: 0.4620 val r: 0.7262; time: 2.98sec
[167/800][24/24] total train loss: 0.0099; total val loss: 0.4646 val r: 0.7231; time: 3.01sec
[168/800][24/24] total train loss: 0.0102; total val loss: 0.4535 val r: 0.7267; time: 2.98sec
[169/800][24/24] total train loss: 0.0103; total val loss: 0.4619 val r: 0.7221; time: 2.98sec
[170/800][24/24] total train loss: 0.0107; total val loss: 0.4524 val r: 0.7138; time: 2.97sec
[171/800][24/24] total train loss: 0.0105; total val loss: 0.4607 val r: 0.7265; time: 2.87sec
[172/800][24/24] total train loss: 0.0109; total val loss: 0.4880 val r: 0.7204; time: 2.86sec
[173/800][24/24] total train loss: 0.0110; total val loss: 0.4635 val r: 0.7223; time: 2.89sec
[174/800][24/24] total train loss: 0.0104; total val loss: 0.4656 val r: 0.7223; time: 2.89sec
