epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.214597964286804,0.32168705202639103,0.2679047503456005,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
1,1.0887494683265686,0.36655361875891684,0.46577898961311437,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
2,0.9154992926865816,0.3812247909605503,0.4933810200353628,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
3,0.8366147704422474,0.39679212495684624,0.5348732431259158,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
4,0.767616356164217,0.39928301572799685,0.5479360843282558,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
5,0.7241145268082618,0.41558305323123934,0.5420455345128564,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
6,0.6731286564841866,0.4169978879392147,0.5854806248594514,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
7,0.6279785038903356,0.4144515447318554,0.5915043382685886,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
8,0.5828082552179694,0.4318114310503006,0.5736659778541876,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
9,0.5287174565717578,0.4336329624056816,0.5906026004871825,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
10,0.5052403250709177,0.4534154921770096,0.6078060419529449,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
11,0.4515416380017996,0.5053218394517899,0.598356734505403,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
12,0.42218782054260373,0.47822933942079543,0.6010192020809274,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
13,0.3879956858232617,0.47456793040037154,0.6148297909982531,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
14,0.3565887723118067,0.47862752079963683,0.5554013349334481,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
15,0.3231320671737194,0.47522582709789274,0.5997553739310927,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
16,0.27602327447384595,0.4937232226133347,0.59535678931804,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
17,0.2538009541109204,0.4839153066277504,0.6019770783833757,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
18,0.23952689515426756,0.5106682568788529,0.6030759159658137,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
19,0.21252790885046124,0.5170174166560173,0.609487683506218,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
20,0.17340459004044534,0.49623869359493256,0.5970036724913175,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
21,0.16979246116243302,0.5050230972468853,0.6047830253367591,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
22,0.15202490049414336,0.509472168982029,0.5952463715417383,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
23,0.1372441238258034,0.5073410898447037,0.6057771542701336,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
24,0.11718486077152193,0.5159625232219696,0.6053300924607825,glove_lstm,False,True,400,0.3,2,-1,-1,False,glove
