Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'glove_lstm',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'glove_lstm',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': False,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': False,
          'BIDIRECTION': True,
          'DROP_PROB': 0.3,
          'FLAG': True,
          'HIDDEN_DIM': 400,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard18/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 100,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/glove_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.2716; total val loss: 0.2986 val r: 0.1870; time: 0.54sec
[2/800][24/24] total train loss: 1.1086; total val loss: 0.3390 val r: 0.4988; time: 0.51sec
[3/800][24/24] total train loss: 0.9243; total val loss: 0.3927 val r: 0.5196; time: 0.50sec
[4/800][24/24] total train loss: 0.8424; total val loss: 0.3940 val r: 0.5316; time: 0.51sec
[5/800][24/24] total train loss: 0.7880; total val loss: 0.4249 val r: 0.5639; time: 0.51sec
[6/800][24/24] total train loss: 0.6932; total val loss: 0.3837 val r: 0.4903; time: 0.51sec
[7/800][24/24] total train loss: 0.6654; total val loss: 0.3949 val r: 0.5965; time: 0.52sec
[8/800][24/24] total train loss: 0.6233; total val loss: 0.3940 val r: 0.5898; time: 0.52sec
[9/800][24/24] total train loss: 0.5755; total val loss: 0.4117 val r: 0.5821; time: 0.50sec
[10/800][24/24] total train loss: 0.5076; total val loss: 0.4198 val r: 0.6017; time: 0.50sec
[11/800][24/24] total train loss: 0.5352; total val loss: 0.4252 val r: 0.5750; time: 0.50sec
[12/800][24/24] total train loss: 0.4826; total val loss: 0.4470 val r: 0.6061; time: 0.51sec
[13/800][24/24] total train loss: 0.4133; total val loss: 0.4555 val r: 0.5702; time: 0.51sec
[14/800][24/24] total train loss: 0.4065; total val loss: 0.4741 val r: 0.6495; time: 0.51sec
[15/800][24/24] total train loss: 0.3583; total val loss: 0.4565 val r: 0.5103; time: 0.50sec
[16/800][24/24] total train loss: 0.3335; total val loss: 0.4743 val r: 0.6205; time: 0.50sec
[17/800][24/24] total train loss: 0.2675; total val loss: 0.4924 val r: 0.6034; time: 0.50sec
[18/800][24/24] total train loss: 0.2640; total val loss: 0.4464 val r: 0.5790; time: 0.50sec
[19/800][24/24] total train loss: 0.2390; total val loss: 0.4988 val r: 0.6020; time: 0.51sec
[20/800][24/24] total train loss: 0.2505; total val loss: 0.4733 val r: 0.5973; time: 0.51sec
[21/800][24/24] total train loss: 0.1883; total val loss: 0.4478 val r: 0.6190; time: 0.51sec
[22/800][24/24] total train loss: 0.1721; total val loss: 0.4483 val r: 0.5896; time: 0.50sec
[23/800][24/24] total train loss: 0.1683; total val loss: 0.4776 val r: 0.5987; time: 0.51sec
[24/800][24/24] total train loss: 0.1593; total val loss: 0.4788 val r: 0.5959; time: 0.50sec
[25/800][24/24] total train loss: 0.1354; total val loss: 0.5002 val r: 0.5979; time: 0.50sec
[26/800][24/24] total train loss: 0.1369; total val loss: 0.4649 val r: 0.5935; time: 0.51sec
[27/800][24/24] total train loss: 0.1179; total val loss: 0.4962 val r: 0.5895; time: 0.50sec
[28/800][24/24] total train loss: 0.0979; total val loss: 0.4606 val r: 0.5866; time: 0.50sec
[29/800][24/24] total train loss: 0.0898; total val loss: 0.5190 val r: 0.5918; time: 0.50sec
[30/800][24/24] total train loss: 0.0928; total val loss: 0.4533 val r: 0.5921; time: 0.50sec
[31/800][24/24] total train loss: 0.0814; total val loss: 0.5325 val r: 0.5706; time: 0.50sec
[32/800][24/24] total train loss: 0.0782; total val loss: 0.4994 val r: 0.6116; time: 0.51sec
[33/800][24/24] total train loss: 0.0652; total val loss: 0.5117 val r: 0.6091; time: 0.51sec
[34/800][24/24] total train loss: 0.0592; total val loss: 0.4769 val r: 0.5942; time: 0.50sec
[35/800][24/24] total train loss: 0.0503; total val loss: 0.4921 val r: 0.6148; time: 0.50sec
[36/800][24/24] total train loss: 0.0557; total val loss: 0.4657 val r: 0.5835; time: 0.50sec
[37/800][24/24] total train loss: 0.0524; total val loss: 0.5164 val r: 0.5853; time: 0.50sec
[38/800][24/24] total train loss: 0.0460; total val loss: 0.4920 val r: 0.6197; time: 0.51sec
[39/800][24/24] total train loss: 0.0469; total val loss: 0.5206 val r: 0.6126; time: 0.51sec
[40/800][24/24] total train loss: 0.0445; total val loss: 0.4804 val r: 0.6024; time: 0.50sec
[41/800][24/24] total train loss: 0.0427; total val loss: 0.4991 val r: 0.5918; time: 0.50sec
[42/800][24/24] total train loss: 0.0391; total val loss: 0.4964 val r: 0.6119; time: 0.50sec
[43/800][24/24] total train loss: 0.0367; total val loss: 0.5073 val r: 0.5991; time: 0.50sec
[44/800][24/24] total train loss: 0.0388; total val loss: 0.4895 val r: 0.5747; time: 0.51sec
[45/800][24/24] total train loss: 0.0398; total val loss: 0.4818 val r: 0.6082; time: 0.50sec
[46/800][24/24] total train loss: 0.0406; total val loss: 0.5019 val r: 0.6091; time: 0.50sec
[47/800][24/24] total train loss: 0.0359; total val loss: 0.4824 val r: 0.5925; time: 0.50sec
[48/800][24/24] total train loss: 0.0311; total val loss: 0.4803 val r: 0.5786; time: 0.50sec
[49/800][24/24] total train loss: 0.0288; total val loss: 0.4857 val r: 0.5854; time: 0.51sec
[50/800][24/24] total train loss: 0.0296; total val loss: 0.5076 val r: 0.5917; time: 0.50sec
[51/800][24/24] total train loss: 0.0293; total val loss: 0.4902 val r: 0.5921; time: 0.50sec
[52/800][24/24] total train loss: 0.0304; total val loss: 0.4935 val r: 0.5903; time: 0.51sec
[53/800][24/24] total train loss: 0.0287; total val loss: 0.4862 val r: 0.5832; time: 0.51sec
[54/800][24/24] total train loss: 0.0319; total val loss: 0.4763 val r: 0.5753; time: 0.51sec
[55/800][24/24] total train loss: 0.0273; total val loss: 0.4795 val r: 0.6003; time: 0.51sec
[56/800][24/24] total train loss: 0.0222; total val loss: 0.4812 val r: 0.5946; time: 0.50sec
[57/800][24/24] total train loss: 0.0244; total val loss: 0.4952 val r: 0.5797; time: 0.50sec
[58/800][24/24] total train loss: 0.0281; total val loss: 0.4758 val r: 0.6044; time: 0.50sec
[59/800][24/24] total train loss: 0.0307; total val loss: 0.4939 val r: 0.5861; time: 0.51sec
[60/800][24/24] total train loss: 0.0269; total val loss: 0.4645 val r: 0.5937; time: 0.50sec
[61/800][24/24] total train loss: 0.0258; total val loss: 0.4882 val r: 0.5915; time: 0.50sec
[62/800][24/24] total train loss: 0.0236; total val loss: 0.4886 val r: 0.5984; time: 0.50sec
[63/800][24/24] total train loss: 0.0220; total val loss: 0.4855 val r: 0.5993; time: 0.50sec
[64/800][24/24] total train loss: 0.0221; total val loss: 0.4936 val r: 0.5890; time: 0.50sec
[65/800][24/24] total train loss: 0.0217; total val loss: 0.4925 val r: 0.5894; time: 0.50sec
[66/800][24/24] total train loss: 0.0245; total val loss: 0.5069 val r: 0.6077; time: 0.50sec
[67/800][24/24] total train loss: 0.0253; total val loss: 0.4928 val r: 0.6168; time: 0.50sec
[68/800][24/24] total train loss: 0.0252; total val loss: 0.4881 val r: 0.5974; time: 0.50sec
[69/800][24/24] total train loss: 0.0216; total val loss: 0.4924 val r: 0.5910; time: 0.50sec
[70/800][24/24] total train loss: 0.0230; total val loss: 0.4651 val r: 0.6070; time: 0.52sec
[71/800][24/24] total train loss: 0.0273; total val loss: 0.4639 val r: 0.6009; time: 0.52sec
[72/800][24/24] total train loss: 0.0238; total val loss: 0.4741 val r: 0.6052; time: 0.52sec
[73/800][24/24] total train loss: 0.0229; total val loss: 0.4890 val r: 0.5969; time: 0.52sec
[74/800][24/24] total train loss: 0.0203; total val loss: 0.4696 val r: 0.6043; time: 0.52sec
[75/800][24/24] total train loss: 0.0216; total val loss: 0.4993 val r: 0.5998; time: 0.52sec
[76/800][24/24] total train loss: 0.0212; total val loss: 0.4960 val r: 0.6080; time: 0.51sec
[77/800][24/24] total train loss: 0.0229; total val loss: 0.4933 val r: 0.6044; time: 0.52sec
[78/800][24/24] total train loss: 0.0225; total val loss: 0.4940 val r: 0.5882; time: 0.52sec
[79/800][24/24] total train loss: 0.0207; total val loss: 0.4702 val r: 0.5963; time: 0.51sec
[80/800][24/24] total train loss: 0.0219; total val loss: 0.4706 val r: 0.5820; time: 0.52sec
[81/800][24/24] total train loss: 0.0219; total val loss: 0.4940 val r: 0.5914; time: 0.51sec
[82/800][24/24] total train loss: 0.0212; total val loss: 0.4755 val r: 0.5795; time: 0.51sec
[83/800][24/24] total train loss: 0.0214; total val loss: 0.4908 val r: 0.6073; time: 0.50sec
[84/800][24/24] total train loss: 0.0215; total val loss: 0.4819 val r: 0.5927; time: 0.50sec
[85/800][24/24] total train loss: 0.0192; total val loss: 0.4695 val r: 0.5895; time: 0.51sec
[86/800][24/24] total train loss: 0.0178; total val loss: 0.4727 val r: 0.6008; time: 0.51sec
