epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.178572204709053,0.3275757357478142,0.323824088942359,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
1,1.0636047706007958,0.33180585950613023,0.41656646212127385,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
2,0.9627221804112196,0.3641613408923149,0.47337023907302705,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
3,0.8872873831540347,0.39545795917510984,0.538439414092595,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
4,0.778848297894001,0.40739484056830405,0.5787840209786411,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
5,0.6929733220487833,0.4060339152812958,0.6342927911376679,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
6,0.6184702614322305,0.4182606726884842,0.6439943426683565,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
7,0.5528881616890431,0.46238465756177904,0.666013740242593,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
8,0.52163947802037,0.4588198482990265,0.6736203080080306,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
9,0.49173721950501204,0.45911424085497854,0.6678510760141771,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
10,0.4330444045364857,0.4741484083235264,0.6662063897778776,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
11,0.3992065142840147,0.48725855723023415,0.6562111436814396,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
12,0.38523116558790205,0.4843230009078979,0.6596776896272128,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
13,0.340314213745296,0.46621867194771766,0.6636555700252993,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
14,0.31866428358480337,0.5045374289155007,0.6709804470505033,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
15,0.27828249922022225,0.5048454590141773,0.6632774641865944,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
16,0.2471182462759316,0.49646530151367185,0.6749798741717431,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
17,0.2400533130392432,0.5126196421682835,0.6577505000231395,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
18,0.21440776600502431,0.4985529720783234,0.6643685786614313,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
19,0.1986358603462577,0.5175450935959816,0.654897580728554,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
20,0.17533610253594817,0.5151026919484138,0.6560242870132471,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
21,0.16362965516746045,0.5102911978960037,0.6655927580184311,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
22,0.15776521028019488,0.5098821952939033,0.6622015426867105,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
23,0.1428735417313874,0.4972714439034462,0.6577790584270687,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
24,0.13071936182677746,0.5183933556079865,0.6554869440985694,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
25,0.11219055633991956,0.48765057772397996,0.6588528090637629,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
26,0.1005753868026659,0.5253008529543877,0.6528267479695211,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
27,0.09727491200901568,0.5053326457738876,0.645763887898118,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
28,0.08996941433288157,0.508974489569664,0.6561407585353852,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
29,0.08695683851838112,0.5139557957649231,0.6554929203686248,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
30,0.08118645397480577,0.5159888155758381,0.6686842420070939,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
31,0.07619543885812163,0.5169586583971977,0.6611583742007536,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
32,0.06549894663039595,0.5083105936646461,0.6597326854341798,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
33,0.05948441324289888,0.530348838865757,0.6644355317469557,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
34,0.05933624031022191,0.5027061827480793,0.6634949607346208,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
35,0.05604538987390697,0.526059427857399,0.6636775612356663,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
36,0.053159830428194256,0.5208691745996475,0.6641349506468698,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
37,0.05136343624908477,0.5134040385484695,0.6607192879069497,glove_lstm_attn,True,True,400,0.3,2,-1,-1,False,glove
