Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'glove_lstm_attn',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'glove_lstm_attn',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': False,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': True,
          'BIDIRECTION': True,
          'DROP_PROB': 0.3,
          'FLAG': True,
          'HIDDEN_DIM': 400,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard18/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 100,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/glove_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.1892; total val loss: 0.3123 val r: 0.3289; time: 0.52sec
[2/800][24/24] total train loss: 1.0253; total val loss: 0.3219 val r: 0.4432; time: 0.48sec
[3/800][24/24] total train loss: 0.9621; total val loss: 0.4088 val r: 0.4801; time: 0.48sec
[4/800][24/24] total train loss: 0.8977; total val loss: 0.4278 val r: 0.5252; time: 0.48sec
[5/800][24/24] total train loss: 0.7684; total val loss: 0.4220 val r: 0.5346; time: 0.48sec
[6/800][24/24] total train loss: 0.6883; total val loss: 0.4203 val r: 0.5950; time: 0.48sec
[7/800][24/24] total train loss: 0.6491; total val loss: 0.4048 val r: 0.6609; time: 0.48sec
[8/800][24/24] total train loss: 0.5403; total val loss: 0.4425 val r: 0.6791; time: 0.48sec
[9/800][24/24] total train loss: 0.5183; total val loss: 0.4621 val r: 0.6670; time: 0.49sec
[10/800][24/24] total train loss: 0.5134; total val loss: 0.4435 val r: 0.6438; time: 0.48sec
[11/800][24/24] total train loss: 0.4427; total val loss: 0.4326 val r: 0.6956; time: 0.48sec
[12/800][24/24] total train loss: 0.3904; total val loss: 0.4228 val r: 0.6349; time: 0.48sec
[13/800][24/24] total train loss: 0.3616; total val loss: 0.4783 val r: 0.6548; time: 0.48sec
[14/800][24/24] total train loss: 0.3544; total val loss: 0.4931 val r: 0.6244; time: 0.48sec
[15/800][24/24] total train loss: 0.3322; total val loss: 0.4871 val r: 0.6285; time: 0.48sec
[16/800][24/24] total train loss: 0.2705; total val loss: 0.4844 val r: 0.6291; time: 0.48sec
[17/800][24/24] total train loss: 0.2456; total val loss: 0.4869 val r: 0.6371; time: 0.47sec
[18/800][24/24] total train loss: 0.2701; total val loss: 0.4640 val r: 0.6715; time: 0.49sec
[19/800][24/24] total train loss: 0.2243; total val loss: 0.4816 val r: 0.6489; time: 0.48sec
[20/800][24/24] total train loss: 0.2075; total val loss: 0.5023 val r: 0.6303; time: 0.48sec
[21/800][24/24] total train loss: 0.1850; total val loss: 0.5191 val r: 0.6548; time: 0.48sec
[22/800][24/24] total train loss: 0.1593; total val loss: 0.4982 val r: 0.6320; time: 0.47sec
[23/800][24/24] total train loss: 0.1453; total val loss: 0.5099 val r: 0.6247; time: 0.48sec
[24/800][24/24] total train loss: 0.1339; total val loss: 0.4875 val r: 0.6237; time: 0.48sec
[25/800][24/24] total train loss: 0.1353; total val loss: 0.5557 val r: 0.6336; time: 0.48sec
