Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'glove_lstm_attn_context',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'glove_lstm_attn_context',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': False,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': True,
          'BIDIRECTION': True,
          'DROP_PROB': 0.3,
          'FLAG': True,
          'HIDDEN_DIM': 400,
          'LAYERS': 2,
          'SEQ_LEN': 150},
 'MODE': 'train',
 'OUT_PATH': '/jagupard18/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': False,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 10,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0_contextual/glove_lstm/embs_train_150.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.2282; total val loss: 0.2918 val r: 0.1980; time: 2.49sec
[2/800][24/24] total train loss: 1.2031; total val loss: 0.2938 val r: 0.0610; time: 1.78sec
[3/800][24/24] total train loss: 1.2044; total val loss: 0.2962 val r: 0.2534; time: 1.78sec
[4/800][24/24] total train loss: 1.1998; total val loss: 0.2929 val r: 0.0850; time: 1.77sec
[5/800][24/24] total train loss: 1.1832; total val loss: 0.3008 val r: 0.2058; time: 1.79sec
[6/800][24/24] total train loss: 1.1460; total val loss: 0.3392 val r: 0.1952; time: 1.78sec
[7/800][24/24] total train loss: 1.1506; total val loss: 0.3009 val r: 0.2071; time: 1.77sec
[8/800][24/24] total train loss: 1.1346; total val loss: 0.3201 val r: 0.2388; time: 1.79sec
[9/800][24/24] total train loss: 1.1021; total val loss: 0.3312 val r: 0.2496; time: 1.78sec
[10/800][24/24] total train loss: 1.0318; total val loss: 0.3428 val r: 0.3893; time: 1.77sec
[11/800][24/24] total train loss: 0.9342; total val loss: 0.3739 val r: 0.5213; time: 1.78sec
[12/800][24/24] total train loss: 0.7886; total val loss: 0.4158 val r: 0.6086; time: 1.77sec
[13/800][24/24] total train loss: 0.6822; total val loss: 0.4084 val r: 0.5810; time: 1.78sec
[14/800][24/24] total train loss: 0.6238; total val loss: 0.4164 val r: 0.6346; time: 1.78sec
[15/800][24/24] total train loss: 0.5830; total val loss: 0.4285 val r: 0.6012; time: 1.78sec
[16/800][24/24] total train loss: 0.5605; total val loss: 0.4162 val r: 0.6541; time: 1.77sec
[17/800][24/24] total train loss: 0.4646; total val loss: 0.4522 val r: 0.6297; time: 1.79sec
[18/800][24/24] total train loss: 0.4166; total val loss: 0.4305 val r: 0.6054; time: 1.75sec
