epoch,avg_train_loss,avg_val_loss,avg_val_corr,run,lstm_attn,lstm_bidirectional,lstm_hiddensize,lstm_dropout,lstm_layers,elmo_layer,bert_layer,bert_large,embedding
0,1.231178993359208,0.30663441866636276,0.09434678765335269,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
1,1.1415138754993677,0.35591857954859735,0.37238405945119235,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
2,1.017437383159995,0.35790942534804343,0.431177293741032,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
3,0.9111654076725244,0.37521900683641435,0.45200246825616386,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
4,0.8925055895000696,0.373930799216032,0.4577906157417691,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
5,0.8209243200719356,0.38791379183530805,0.4675830537619472,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
6,0.7760696984827519,0.39491566121578214,0.5114765915953133,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
7,0.7109497310593724,0.42886357083916665,0.5056123871710322,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
8,0.7040069786831736,0.4158632166683674,0.5127221700160084,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
9,0.6311075381934643,0.4132255956530571,0.5131214202920902,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
10,0.5787731172516942,0.4282473050057888,0.5174503012667525,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
11,0.517625980451703,0.4651330642402172,0.5199412425713511,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
12,0.47981735598295927,0.4571314938366413,0.5460538541659612,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
13,0.4219104964286089,0.4716323509812355,0.5236033171203609,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
14,0.38487636484205723,0.4625358372926712,0.5073661167768959,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
15,0.33033016389235853,0.48346004262566566,0.5217721304166493,glove_lstm_context,False,True,400,0.3,2,-1,-1,False,glove
