Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': False,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'glove_lstm_context',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'glove_lstm_context',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': False,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': False,
          'BIDIRECTION': True,
          'DROP_PROB': 0.3,
          'FLAG': True,
          'HIDDEN_DIM': 400,
          'LAYERS': 2,
          'SEQ_LEN': 150},
 'MODE': 'train',
 'OUT_PATH': '/jagupard18/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': False,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 10,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0_contextual/glove_lstm/embs_train_150.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.2760; total val loss: 0.2986 val r: 0.0954; time: 1.91sec
[2/800][24/24] total train loss: 1.1592; total val loss: 0.3432 val r: 0.4066; time: 1.85sec
[3/800][24/24] total train loss: 0.9921; total val loss: 0.3450 val r: 0.4054; time: 1.84sec
[4/800][24/24] total train loss: 0.9402; total val loss: 0.3834 val r: 0.3909; time: 1.86sec
[5/800][24/24] total train loss: 0.8925; total val loss: 0.3692 val r: 0.4333; time: 1.86sec
[6/800][24/24] total train loss: 0.8849; total val loss: 0.3499 val r: 0.4160; time: 1.85sec
[7/800][24/24] total train loss: 0.7874; total val loss: 0.3718 val r: 0.4943; time: 1.85sec
[8/800][24/24] total train loss: 0.7558; total val loss: 0.3773 val r: 0.4936; time: 1.86sec
[9/800][24/24] total train loss: 0.6702; total val loss: 0.4282 val r: 0.5148; time: 1.86sec
[10/800][24/24] total train loss: 0.6348; total val loss: 0.4117 val r: 0.5236; time: 1.83sec
[11/800][24/24] total train loss: 0.6128; total val loss: 0.4074 val r: 0.5530; time: 1.80sec
[12/800][24/24] total train loss: 0.5326; total val loss: 0.4429 val r: 0.5454; time: 1.77sec
[13/800][24/24] total train loss: 0.5192; total val loss: 0.4307 val r: 0.5550; time: 1.84sec
[14/800][24/24] total train loss: 0.4699; total val loss: 0.4833 val r: 0.5677; time: 1.87sec
[15/800][24/24] total train loss: 0.4652; total val loss: 0.4310 val r: 0.4764; time: 1.89sec
[16/800][24/24] total train loss: 0.3942; total val loss: 0.4881 val r: 0.5692; time: 1.89sec
[17/800][24/24] total train loss: 0.3168; total val loss: 0.4833 val r: 0.5468; time: 1.84sec
[18/800][24/24] total train loss: 0.3160; total val loss: 0.4010 val r: 0.5477; time: 1.89sec
[19/800][24/24] total train loss: 0.2703; total val loss: 0.4695 val r: 0.5074; time: 1.90sec
[20/800][24/24] total train loss: 0.2512; total val loss: 0.4541 val r: 0.5122; time: 1.90sec
[21/800][24/24] total train loss: 0.1864; total val loss: 0.4589 val r: 0.5048; time: 1.90sec
[22/800][24/24] total train loss: 0.1559; total val loss: 0.5125 val r: 0.5348; time: 1.89sec
[23/800][24/24] total train loss: 0.1424; total val loss: 0.4943 val r: 0.5355; time: 1.89sec
[24/800][24/24] total train loss: 0.1245; total val loss: 0.4652 val r: 0.5134; time: 1.90sec
[25/800][24/24] total train loss: 0.1418; total val loss: 0.4557 val r: 0.5090; time: 1.90sec
[26/800][24/24] total train loss: 0.1097; total val loss: 0.4853 val r: 0.5258; time: 1.90sec
[27/800][24/24] total train loss: 0.0823; total val loss: 0.4760 val r: 0.5407; time: 1.90sec
[28/800][24/24] total train loss: 0.0649; total val loss: 0.5025 val r: 0.5502; time: 1.90sec
[29/800][24/24] total train loss: 0.0570; total val loss: 0.4799 val r: 0.5496; time: 1.90sec
[30/800][24/24] total train loss: 0.0599; total val loss: 0.4849 val r: 0.4958; time: 1.88sec
[31/800][24/24] total train loss: 0.0600; total val loss: 0.5058 val r: 0.5567; time: 1.88sec
[32/800][24/24] total train loss: 0.0439; total val loss: 0.5013 val r: 0.5859; time: 1.88sec
[33/800][24/24] total train loss: 0.0433; total val loss: 0.4785 val r: 0.5406; time: 1.89sec
